total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
388.8233,46.1347,0.0000,11.1019,331.5867,0.9480,0.9446
378.4082,46.1248,0.0000,0.6968,331.5866,0.9859,0.9844
378.0617,46.0883,0.0000,0.3867,331.5867,0.9875,0.9858
377.9544,46.0375,0.0000,0.3302,331.5867,0.9913,0.9899
377.8383,45.9860,0.0000,0.2656,331.5867,0.9932,0.9920
377.8053,45.9560,0.0000,0.2627,331.5867,0.9934,0.9920
377.7749,45.9502,0.0000,0.2381,331.5866,0.9949,0.9938
378.3224,45.9470,0.0000,0.7888,331.5867,0.7280,0.7364
379.0179,45.9362,0.0000,1.4950,331.5866,0.9869,0.9850
378.4308,45.9442,0.0000,0.9000,331.5866,0.9882,0.9864
378.2846,45.9414,0.0000,0.7566,331.5866,0.9889,0.9871
378.2106,45.9493,0.0000,0.6747,331.5867,0.9893,0.9876
378.1534,45.9475,0.0000,0.6193,331.5866,0.9896,0.9879
378.1176,45.9496,0.0000,0.5813,331.5867,0.9899,0.9883
378.0868,45.9463,0.0000,0.5538,331.5867,0.9900,0.9884
205.9863,24.2323,0.0000,0.5272,181.2267,0.9902,0.9886
-43.2484,14.9385,0.0000,0.5135,-58.7003,0.9904,0.9887
-128.2262,14.8921,0.0000,0.4977,-143.6160,0.9905,0.9889
-163.9050,14.8971,0.0000,0.4872,-179.2893,0.9905,0.9889
-176.9148,14.9060,0.0000,0.4756,-192.2965,0.9906,0.9890
-182.5665,14.9090,0.0000,0.4685,-197.9439,0.9907,0.9891
-185.4798,14.9134,0.0000,0.4595,-200.8527,0.9909,0.9893
-187.1774,14.9125,0.0000,0.4534,-202.5433,0.9909,0.9893
-188.2516,14.9126,0.0000,0.4489,-203.6132,0.9909,0.9893
-188.9759,14.9131,0.0000,0.4449,-204.3339,0.9909,0.9894
-189.4865,14.9165,0.0000,0.4398,-204.8428,0.9910,0.9895
-189.8644,14.9161,0.0000,0.4352,-205.2157,0.9910,0.9895
-190.1792,14.9161,0.0000,0.4019,-205.4971,0.9931,0.9918
-190.6877,14.9153,0.0000,0.1117,-205.7147,0.9948,0.9938
-190.8702,14.9153,0.0000,0.1009,-205.8863,0.9946,0.9936
