total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
37548.1999,46.4954,0.0000,37170.1088,331.5957,0.5922,0.5891
4245.2836,46.4984,0.0000,3867.1895,331.5957,0.3677,0.3638
1790.8356,46.4655,0.0000,1412.7743,331.5957,0.0902,0.0903
1272.1085,46.4576,0.0000,894.0552,331.5957,0.8504,0.8150
1241.4631,46.4478,0.0000,863.4197,331.5957,0.0492,0.0432
1199.4280,46.4504,0.0000,821.3819,331.5957,0.0898,0.0697
1147.9580,46.4412,0.0000,769.9211,331.5957,0.9144,0.8447
1107.7290,46.4410,0.0000,729.6923,331.5957,0.1199,0.0908
1182.7211,46.4419,0.0000,804.6835,331.5957,0.1359,0.0967
1065.1564,46.4409,0.0000,687.1198,331.5957,0.9492,0.8668
1023.0116,46.4417,0.0000,644.9743,331.5957,0.1867,0.1308
1008.9575,46.4406,0.0000,630.9212,331.5957,0.2498,0.1618
972.0285,46.4419,0.0000,593.9910,331.5957,0.9646,0.8725
933.1930,46.4636,0.0000,555.1337,331.5957,0.0212,0.0182
887.7844,46.5016,0.0000,509.6871,331.5957,0.9901,0.9882
651.5555,22.6519,0.0000,448.6376,180.2660,0.9987,0.9985
446.2093,14.9560,0.0000,487.7665,-56.5132,0.0502,0.0518
366.9494,14.9006,0.0000,494.1915,-142.1427,0.9605,0.9589
308.2982,14.9043,0.0000,472.0299,-178.6359,0.0037,0.0046
330.8178,14.9067,0.0000,507.9257,-192.0146,0.9940,0.9931
264.6235,14.9086,0.0000,447.5177,-197.8029,0.9989,0.9988
302.7663,14.9131,0.0000,488.6249,-200.7717,0.0464,0.0491
307.6792,14.9109,0.0000,495.2599,-202.4916,0.9587,0.9562
282.9989,14.9143,0.0000,471.6624,-203.5777,0.0044,0.0052
318.9691,14.9145,0.0000,508.3627,-204.3081,0.9940,0.9934
257.2740,14.9123,0.0000,447.1849,-204.8232,0.9988,0.9988
297.0548,14.9159,0.0000,487.3394,-205.2004,0.0505,0.0515
303.5964,14.9147,0.0000,494.1666,-205.4849,0.9604,0.9590
282.5468,14.9163,0.0000,473.3352,-205.7047,0.0046,0.0056
316.1005,14.9138,0.0000,507.0646,-205.8779,0.9939,0.9933
