total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
804399.3044,46.4697,0.0000,801037.1479,3315.6868,0.4865,0.4870
205561.8313,46.4385,0.0000,202199.7059,3315.6868,0.5004,0.4997
13863.7721,46.2661,0.0000,10501.8193,3315.6868,0.1070,0.1162
7936.5439,46.2653,0.0000,4574.5918,3315.6868,0.0847,0.0802
5620.1119,46.2665,0.0000,2258.1587,3315.6868,0.1195,0.1070
4410.1796,46.2693,0.0000,1048.2235,3315.6868,0.6441,0.6282
4274.3703,46.2699,0.0000,912.4137,3315.6867,0.5211,0.5020
4245.4687,46.2706,0.0000,883.5113,3315.6868,0.0351,0.0343
4240.4349,46.2682,0.0000,878.4799,3315.6868,0.6977,0.6829
4210.4468,46.2696,0.0000,848.4903,3315.6868,0.5526,0.5312
4199.3967,46.2741,0.0000,837.4358,3315.6868,0.0356,0.0322
4202.5566,46.2788,0.0000,840.5910,3315.6868,0.7286,0.7078
4175.7878,46.2792,0.0000,813.8218,3315.6868,0.5863,0.5559
4166.6109,46.2845,0.0000,804.6396,3315.6868,0.0501,0.0473
4173.8645,46.2884,0.0000,811.8893,3315.6869,0.7552,0.7287
2602.4149,33.2573,0.0000,784.6152,1784.5424,0.6287,0.5876
196.8998,29.6600,0.0000,771.7181,-604.4783,0.0704,0.0628
-653.1021,30.6082,0.0000,775.7004,-1459.4107,0.7802,0.7431
-1025.7556,32.1195,0.0000,747.5612,-1805.4363,0.6694,0.6169
-1161.9469,33.0580,0.0000,735.5814,-1930.5862,0.0922,0.0787
-1215.8014,34.1306,0.0000,735.0001,-1984.9320,0.8200,0.7656
-1273.5006,35.0661,0.0000,704.3829,-2012.9497,0.7183,0.6553
-1292.2866,38.2002,0.0000,698.7469,-2029.2336,0.1221,0.1006
-1324.6681,37.7994,0.0000,677.0441,-2039.5116,0.8591,0.7906
-1374.5905,38.7573,0.0000,633.1571,-2046.5049,0.7814,0.6890
-1402.0230,39.4283,0.0000,609.9974,-2051.4487,0.1806,0.1455
-1415.5366,39.9544,0.0000,599.5830,-2055.0740,0.8889,0.8098
-1455.0901,40.2597,0.0000,562.4623,-2057.8121,0.8151,0.7137
-1436.0914,45.2264,0.0000,578.5670,-2059.8848,0.2382,0.1811
-1485.7552,40.8859,0.0000,534.8692,-2061.5104,0.9105,0.8272
