total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
31545.9331,46.7285,0.0000,28183.3840,3315.8207,0.5261,0.5252
9284.5220,46.7712,0.0000,5921.9301,3315.8207,0.8555,0.8535
3462.4020,46.4338,0.0000,100.1475,3315.8207,0.9290,0.9265
3402.1801,46.6194,0.0000,39.7400,3315.8207,0.9657,0.9629
3388.3253,46.6172,0.0000,25.8873,3315.8207,0.9540,0.9516
3382.0571,46.5864,0.0000,19.6500,3315.8207,0.9864,0.9850
3378.9355,46.5872,0.0000,16.5275,3315.8207,0.9568,0.9521
3377.4338,46.5694,0.0000,15.0437,3315.8207,0.9902,0.9873
3376.8943,46.5843,0.0000,14.4893,3315.8207,0.9742,0.9711
3376.2111,46.6020,0.0000,13.7884,3315.8207,0.9909,0.9882
3376.0300,46.5714,0.0000,13.6379,3315.8207,0.9701,0.9658
3375.6967,46.6644,0.0000,13.2116,3315.8207,0.9914,0.9883
3375.5787,46.8432,0.0000,12.9148,3315.8207,0.9745,0.9709
3373.9914,46.5845,0.0000,11.5862,3315.8207,0.9872,0.9839
3371.3295,46.6817,0.0000,8.8270,3315.8207,0.9920,0.9894
1864.1001,23.0120,0.0000,8.8236,1832.2645,0.9921,0.9903
-576.8807,14.9482,0.0000,7.7747,-599.6036,0.9820,0.9788
-1439.3007,14.8968,0.0000,7.4222,-1461.6197,0.9899,0.9875
-1784.4008,14.9031,0.0000,7.0732,-1806.3771,0.9887,0.9874
-1908.9577,14.9084,0.0000,7.1623,-1931.0284,0.9865,0.9834
-1963.0499,14.9091,0.0000,7.2619,-1985.2209,0.9932,0.9917
-1991.4026,14.9119,0.0000,6.8598,-2013.1743,0.9846,0.9815
-2008.0441,14.9127,0.0000,6.4850,-2029.4419,0.9874,0.9839
-2018.5668,14.9154,0.0000,6.2693,-2039.7516,0.9881,0.9856
-2025.6588,14.9162,0.0000,6.1320,-2046.7070,0.9889,0.9869
-2030.7144,14.9144,0.0000,5.9996,-2051.6284,0.9904,0.9896
-2034.2747,14.9180,0.0000,6.0503,-2055.2429,0.9938,0.9927
-2037.4102,14.9186,0.0000,5.6497,-2057.9785,0.9943,0.9933
-2039.6737,14.9203,0.0000,5.5066,-2060.1005,0.9944,0.9937
-2041.4399,14.9185,0.0000,5.4225,-2061.7810,0.9945,0.9938
