total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
116335.1595,46.5274,0.0000,83129.1961,33159.4360,0.4764,0.4761
56065.9394,46.4950,0.0000,22860.0085,33159.4359,0.4999,0.4996
34846.6708,46.1198,0.0000,1641.1149,33159.4361,0.2639,0.2778
34382.0683,46.1244,0.0000,1176.5081,33159.4357,0.1766,0.1858
33956.6163,46.1260,0.0000,751.0542,33159.4361,0.2016,0.2099
33624.1681,46.2381,0.0000,418.4940,33159.4359,0.2402,0.2427
33390.9081,46.1724,0.0000,185.2997,33159.4360,0.5867,0.5748
33300.4172,46.2022,0.0000,94.7787,33159.4363,0.6277,0.6117
33291.4447,46.2099,0.0000,85.7988,33159.4360,0.1488,0.1514
33290.2764,46.2193,0.0000,84.6212,33159.4359,0.7625,0.7492
33285.4510,46.2269,0.0000,79.7882,33159.4360,0.6989,0.6709
33282.5103,46.2406,0.0000,76.8340,33159.4357,0.1597,0.1595
33285.7747,46.2180,0.0000,80.1208,33159.4359,0.8212,0.7961
33278.0842,46.2499,0.0000,72.3985,33159.4358,0.7565,0.7114
33275.4823,46.2593,0.0000,69.7870,33159.4359,0.1698,0.1579
18559.5619,35.8130,0.0000,71.6511,18452.0978,0.7997,0.8005
-5903.4233,15.1627,0.0000,78.0968,-5996.6828,0.6556,0.6595
-14582.2093,14.8786,0.0000,77.6970,-14674.7849,0.1446,0.1466
-18011.4121,14.8801,0.0000,78.9415,-18105.2337,0.8343,0.8350
-19243.5025,14.8891,0.0000,76.1697,-19334.5613,0.6813,0.6882
-19776.8755,14.8986,0.0000,76.1118,-19867.8858,0.1459,0.1454
-20049.8509,14.9023,0.0000,78.1687,-20142.9219,0.8604,0.8618
-20212.5612,14.9076,0.0000,75.5505,-20303.0193,0.7004,0.7090
-20313.8099,14.9116,0.0000,75.7940,-20404.5155,0.1484,0.1467
-20380.3779,14.9115,0.0000,77.7250,-20473.0143,0.8656,0.8688
-20431.2143,14.9116,0.0000,75.3699,-20521.4958,0.7056,0.7156
-20466.6584,14.9150,0.0000,75.5403,-20557.1136,0.1505,0.1491
-20491.5155,14.9170,0.0000,77.6448,-20584.0773,0.8693,0.8725
-20514.7965,14.9172,0.0000,75.2854,-20604.9991,0.7069,0.7162
-20531.1175,14.9171,0.0000,75.5347,-20621.5693,0.1497,0.1487
