total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
210296.5579,46.2187,0.0000,177092.5414,33157.7978,0.2097,0.2129
66835.3152,46.2198,0.0000,33631.2972,33157.7981,0.1726,0.1670
49839.7910,46.2165,0.0000,16635.7766,33157.7979,0.7373,0.7241
40019.4614,46.2140,0.0000,6815.4497,33157.7976,0.6196,0.6139
39244.8056,46.2103,0.0000,6040.7972,33157.7981,0.1171,0.1170
39019.3406,46.2008,0.0000,5815.3415,33157.7983,0.9342,0.9296
38730.6758,46.1828,0.0000,5526.6952,33157.7978,0.6879,0.6545
38717.6025,46.1577,0.0000,5513.6472,33157.7976,0.2349,0.1983
38229.4288,46.1290,0.0000,5025.5022,33157.7976,0.9489,0.9310
37781.0126,46.1081,0.0000,4577.1065,33157.7980,0.8158,0.7285
37490.4820,46.0851,0.0000,4286.5987,33157.7982,0.5287,0.3913
37016.1959,46.0786,0.0000,3812.3191,33157.7982,0.9742,0.9405
36688.1631,46.0750,0.0000,3484.2901,33157.7981,0.8797,0.7714
36710.3501,46.0692,0.0000,3506.4827,33157.7983,0.6732,0.4726
36413.7760,46.0655,0.0000,3209.9124,33157.7980,0.9803,0.9316
21272.7178,41.8296,0.0000,2993.3346,18237.5536,0.8944,0.7775
-2974.1206,40.5396,0.0000,3026.5435,-6041.2036,0.7458,0.5357
-11827.7672,41.4022,0.0000,2726.2896,-14595.4590,0.9883,0.9438
-15463.2078,42.6472,0.0000,2556.6902,-18062.5451,0.9191,0.8029
-16656.6565,43.2291,0.0000,2613.3729,-19313.2585,0.7777,0.5520
-17423.1565,43.4974,0.0000,2388.6960,-19855.3499,0.9917,0.9440
-17825.3959,43.6428,0.0000,2265.6237,-20134.6624,0.9311,0.8154
-17926.0939,43.7499,0.0000,2327.3144,-20297.1582,0.8001,0.5658
-18430.0588,43.7866,0.0000,1926.2913,-20400.1367,0.7177,0.5198
-18265.6853,43.6463,0.0000,2160.2836,-20469.6152,0.9257,0.8448
-18448.6891,52.9999,0.0000,2016.8920,-20518.5809,0.8068,0.6093
-18946.1817,43.8336,0.0000,1564.5928,-20554.6081,0.9975,0.9801
-19082.8303,43.8432,0.0000,1455.3492,-20582.0226,0.9741,0.8866
-19206.4388,43.8788,0.0000,1352.9676,-20603.2852,0.9965,0.9794
-19254.4684,43.9094,0.0000,1321.7400,-20620.1178,0.9959,0.9768
