total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
6199.9995,46.4601,0.0000,2837.7939,3315.7456,0.5246,0.5247
3970.1812,46.4823,0.0000,607.9533,3315.7456,0.7863,0.7820
3400.2054,46.2982,0.0000,38.1616,3315.7456,0.8388,0.8260
3388.9359,46.3795,0.0000,26.8108,3315.7456,0.8733,0.8621
3378.9681,46.3296,0.0000,16.8930,3315.7456,0.9086,0.8990
3370.3836,46.3009,0.0000,8.3371,3315.7456,0.9430,0.9431
3364.5558,46.2542,0.0000,2.5560,3315.7456,0.9794,0.9789
3362.6812,46.2063,0.0000,0.7294,3315.7456,0.9886,0.9862
3362.4960,46.1843,0.0000,0.5661,3315.7456,0.9919,0.9902
3362.4670,46.1761,0.0000,0.5453,3315.7456,0.9916,0.9896
3362.4514,46.1736,0.0000,0.5322,3315.7456,0.9901,0.9871
3362.4395,46.1709,0.0000,0.5230,3315.7456,0.9913,0.9893
3362.4334,46.1708,0.0000,0.5170,3315.7456,0.9909,0.9888
3362.4266,46.1708,0.0000,0.5102,3315.7456,0.9897,0.9870
3362.4179,46.1689,0.0000,0.5034,3315.7456,0.9912,0.9891
1871.2575,22.8254,0.0000,0.5158,1847.9163,0.9905,0.9878
-578.1080,14.9405,0.0000,0.5065,-593.5549,0.9911,0.9892
-1454.3957,14.8971,0.0000,0.4953,-1469.7881,0.9914,0.9895
-1795.4068,14.9024,0.0000,0.4868,-1810.7960,0.9904,0.9878
-1917.7480,14.9076,0.0000,0.4821,-1933.1377,0.9918,0.9901
-1971.0155,14.9095,0.0000,0.4670,-1986.3920,0.9917,0.9896
-1998.5341,14.9125,0.0000,0.4642,-2013.9107,0.9917,0.9900
-2014.5820,14.9156,0.0000,0.4491,-2029.9467,0.9903,0.9875
-2024.7395,14.9159,0.0000,0.4636,-2040.1191,0.9919,0.9902
-2031.6418,14.9162,0.0000,0.4286,-2046.9867,0.9920,0.9904
-2036.5150,14.9153,0.0000,0.4181,-2051.8483,0.9933,0.9918
-2040.0694,14.9163,0.0000,0.4347,-2055.4205,0.9918,0.9901
-2042.8074,14.9176,0.0000,0.3999,-2058.1249,0.9915,0.9896
-2044.8590,14.9174,0.0000,0.4468,-2060.2232,0.9928,0.9912
-2046.5822,14.9185,0.0000,0.3845,-2061.8852,0.9923,0.9906
