total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
6002.7167,46.4362,0.0000,5923.1226,33.1579,0.7073,0.6883
1028.1740,46.4366,0.0000,948.5796,33.1579,0.3715,0.3476
320.9592,46.4274,0.0000,241.3739,33.1579,0.4889,0.4433
286.1504,46.4073,0.0000,206.5852,33.1579,0.6176,0.5239
257.1688,46.4034,0.0000,177.6076,33.1579,0.7403,0.6104
236.6214,46.4049,0.0000,157.0585,33.1579,0.7791,0.6425
295.9085,46.4119,0.0000,216.3386,33.1579,0.6099,0.5393
242.0726,46.3995,0.0000,162.5152,33.1579,0.7845,0.6503
214.0488,46.3999,0.0000,134.4911,33.1579,0.8355,0.6814
201.9346,46.3998,0.0000,122.3769,33.1579,0.8567,0.6973
192.0911,46.3982,0.0000,112.5351,33.1579,0.8750,0.7074
269.5073,46.3948,0.0000,189.9547,33.1579,0.8189,0.7124
179.8490,46.4001,0.0000,100.2911,33.1579,0.8891,0.7373
157.8647,46.4018,0.0000,78.3051,33.1579,0.9041,0.7349
147.5147,46.3985,0.0000,67.9583,33.1579,0.9145,0.7487
115.7169,24.5697,0.0000,61.2711,29.8760,0.9200,0.7582
170.7590,14.9995,0.0000,138.1910,17.5684,0.5381,0.5611
242.1838,14.9061,0.0000,219.5455,7.7322,0.5533,0.5723
230.5312,14.9072,0.0000,212.1565,3.4674,0.5563,0.5736
227.1268,14.9100,0.0000,210.2927,1.9241,0.5593,0.5754
225.2337,14.9110,0.0000,209.0455,1.2771,0.5619,0.5761
223.8299,14.9090,0.0000,207.9641,0.9568,0.5636,0.5771
223.1480,14.9085,0.0000,207.4606,0.7789,0.5648,0.5774
222.0280,14.9096,0.0000,206.4458,0.6725,0.5660,0.5781
221.7008,14.9082,0.0000,206.1868,0.6058,0.5664,0.5778
220.6247,14.9070,0.0000,205.1550,0.5627,0.5667,0.5779
220.0800,14.9097,0.0000,204.6359,0.5345,0.5673,0.5788
219.9614,14.9067,0.0000,204.5388,0.5159,0.5675,0.5789
219.2783,14.9048,0.0000,203.8702,0.5033,0.5678,0.5794
218.6756,14.9056,0.0000,203.2748,0.4952,0.5676,0.5792
