total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
666805.0242,46.3608,0.0000,633600.7651,33157.8983,0.5042,0.5036
428592.6877,46.3696,0.0000,395388.4199,33157.8982,0.5120,0.5094
190989.6627,46.3671,0.0000,157785.3973,33157.8983,0.6185,0.6108
42917.0344,46.0493,0.0000,9713.0870,33157.8981,0.7842,0.7779
37328.6235,45.9278,0.0000,4124.7975,33157.8983,0.8302,0.8226
35849.0964,45.9256,0.0000,2645.2728,33157.8981,0.8776,0.8721
34689.6303,45.9293,0.0000,1485.8031,33157.8979,0.9116,0.9095
33898.6874,45.9264,0.0000,694.8629,33157.8981,0.9543,0.9505
33414.9128,45.9271,0.0000,211.0874,33157.8983,0.9771,0.9765
33338.7667,45.9255,0.0000,134.9431,33157.8981,0.9920,0.9903
33304.3862,45.9222,0.0000,100.5660,33157.8980,0.9809,0.9791
33299.6928,45.9258,0.0000,95.8688,33157.8982,0.9928,0.9918
33294.8341,46.2819,0.0000,90.6538,33157.8984,0.9927,0.9917
33291.1133,46.3681,0.0000,86.8469,33157.8983,0.9791,0.9773
33287.9167,46.2896,0.0000,83.7290,33157.8981,0.9938,0.9927
18229.7825,23.3111,0.0000,81.5151,18124.9563,0.9936,0.9926
-5904.7520,14.9382,0.0000,78.4932,-5998.1835,0.9803,0.9782
-14538.3328,14.8976,0.0000,76.3710,-14629.6015,0.9943,0.9930
-18001.9616,14.9039,0.0000,74.4188,-18091.2843,0.9943,0.9930
-19244.1885,14.9108,0.0000,71.9212,-19331.0205,0.9819,0.9789
-19781.4720,14.9128,0.0000,70.4331,-19866.8178,0.9949,0.9935
-20059.1728,14.9139,0.0000,68.4758,-20142.5625,0.9949,0.9935
-20221.7521,14.9144,0.0000,66.2337,-20302.9002,0.9829,0.9787
-20324.2943,14.9159,0.0000,65.2779,-20404.4880,0.9954,0.9939
-20394.2656,14.9158,0.0000,63.8421,-20473.0234,0.9952,0.9938
-20444.4605,14.9176,0.0000,62.1407,-20521.5188,0.9838,0.9796
-20480.9322,14.9188,0.0000,61.2903,-20557.1413,0.9957,0.9947
-20508.9344,14.9190,0.0000,60.2521,-20584.1055,0.9956,0.9947
-20530.6076,14.9180,0.0000,59.5001,-20605.0257,0.9840,0.9796
-20547.7198,14.9204,0.0000,58.9539,-20621.5941,0.9958,0.9948
