total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33666.6687,46.2016,0.0000,33288.8959,331.5712,0.9760,0.9730
5821.3044,46.1959,0.0000,5443.5373,331.5712,0.9268,0.9216
5645.0769,46.2016,0.0000,5267.3041,331.5712,0.9847,0.9824
5742.6784,46.2167,0.0000,5364.8905,331.5712,0.9379,0.9315
5512.8456,46.2220,0.0000,5135.0524,331.5712,0.9880,0.9851
5566.3136,46.2344,0.0000,5188.5080,331.5712,0.9495,0.9385
5225.9531,46.2470,0.0000,4848.1349,331.5712,0.9915,0.9867
5227.4149,46.2516,0.0000,4849.5921,331.5712,0.9651,0.9477
4895.7308,46.2579,0.0000,4517.9017,331.5712,0.9940,0.9884
4862.9322,46.2664,0.0000,4485.0946,331.5712,0.9752,0.9531
4529.8644,46.2741,0.0000,4152.0191,331.5712,0.9959,0.9895
4501.4137,46.2721,0.0000,4123.5704,331.5712,0.9820,0.9575
4205.0018,46.2741,0.0000,3827.1565,331.5712,0.9969,0.9905
4217.9388,46.2753,0.0000,3840.0923,331.5712,0.9876,0.9590
3912.2199,46.2783,0.0000,3534.3704,331.5712,0.9979,0.9910
4932.3095,33.3427,0.0000,4720.9231,178.0437,0.9690,0.9519
4492.8332,33.2416,0.0000,4518.6742,-59.0826,0.9940,0.9883
4125.7658,34.7755,0.0000,4233.0403,-142.0500,0.9867,0.9563
3543.4078,35.3355,0.0000,3685.3908,-177.3185,0.9983,0.9913
3467.4498,32.8376,0.0000,3624.2907,-189.6785,0.9930,0.9576
3112.6073,28.6872,0.0000,3278.4469,-194.5267,0.9990,0.9920
3094.4349,25.3271,0.0000,3266.2733,-197.1655,0.9954,0.9562
2798.7305,23.2385,0.0000,2974.5992,-199.1072,0.9994,0.9920
2809.5780,21.9146,0.0000,2988.2385,-200.5750,0.9959,0.9556
2581.5278,20.9687,0.0000,2762.2266,-201.6674,0.9995,0.9913
2613.1023,20.2534,0.0000,2795.3423,-202.4933,0.9966,0.9501
2424.0799,19.7280,0.0000,2607.4850,-203.1330,0.9996,0.9902
2468.4319,19.3039,0.0000,2652.7616,-203.6336,0.9966,0.9454
2266.3271,18.9830,0.0000,2451.3757,-204.0316,0.9996,0.9888
2331.9501,18.6845,0.0000,2517.6209,-204.3553,0.9966,0.9420
