total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
71954.0454,46.1338,0.0000,71576.3328,331.5787,0.5030,0.5023
48132.5325,46.1364,0.0000,47754.8173,331.5787,0.5088,0.5061
24322.3111,46.1328,0.0000,23944.5996,331.5787,0.5366,0.5341
3824.9048,46.1492,0.0000,3447.1769,331.5787,0.8545,0.8472
591.9772,46.1585,0.0000,214.2399,331.5787,0.8874,0.8810
515.9376,46.1395,0.0000,138.2194,331.5787,0.9153,0.9125
453.0371,46.1383,0.0000,75.3201,331.5787,0.9505,0.9478
412.0839,46.1358,0.0000,34.3693,331.5787,0.9670,0.9644
394.7315,46.1377,0.0000,17.0151,331.5787,0.9674,0.9640
389.4957,46.1408,0.0000,11.7761,331.5787,0.9910,0.9893
386.9417,46.1334,0.0000,9.2296,331.5787,0.9934,0.9913
386.0183,46.1320,0.0000,8.3075,331.5787,0.9814,0.9766
385.5711,46.1380,0.0000,7.8544,331.5787,0.9944,0.9926
385.1908,46.1312,0.0000,7.4808,331.5787,0.9945,0.9926
384.8674,46.1336,0.0000,7.1550,331.5787,0.9839,0.9788
209.5580,22.9981,0.0000,8.1484,178.4116,0.9936,0.9919
-35.2183,14.9400,0.0000,7.7252,-57.8834,0.9938,0.9921
-120.5363,14.9022,0.0000,7.4178,-142.8563,0.9781,0.9756
-156.8149,14.9254,0.0000,7.1745,-178.9147,0.9946,0.9928
-170.2027,14.9430,0.0000,6.9828,-192.1286,0.9945,0.9927
-176.1160,14.9458,0.0000,6.7957,-197.8574,0.9801,0.9764
-179.1160,14.9363,0.0000,6.7496,-200.8019,0.9950,0.9932
-180.9698,14.9437,0.0000,6.5971,-202.5105,0.9950,0.9932
-182.1798,14.9464,0.0000,6.4644,-203.5905,0.9812,0.9771
-182.9973,14.9482,0.0000,6.3718,-204.3173,0.9953,0.9941
-183.6163,14.9440,0.0000,6.2699,-204.8302,0.9952,0.9940
-184.0996,14.9405,0.0000,6.1656,-205.2058,0.9818,0.9781
-184.4169,14.9426,0.0000,6.1300,-205.4894,0.9955,0.9944
-184.7068,14.9426,0.0000,6.0592,-205.7086,0.9954,0.9943
-184.9979,14.9411,0.0000,5.9424,-205.8814,0.9824,0.9786
