total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
37879.7435,46.3157,0.0000,4673.9200,33159.5078,0.4714,0.4720
33480.7832,46.2258,0.0000,275.0495,33159.5079,0.4378,0.4595
33240.0424,46.1687,0.0000,34.3661,33159.5076,0.6632,0.6794
33216.2840,46.1643,0.0000,10.6118,33159.5079,0.8573,0.8641
33206.8990,46.1561,0.0000,1.2351,33159.5078,0.9884,0.9855
33205.8439,46.1304,0.0000,0.2059,33159.5076,0.9914,0.9891
33205.7945,46.1206,0.0000,0.1660,33159.5079,0.9933,0.9914
33205.7722,46.1196,0.0000,0.1449,33159.5077,0.9936,0.9918
33205.7685,46.1120,0.0000,0.1488,33159.5077,0.9953,0.9939
33206.3734,46.2304,0.0000,0.6352,33159.5078,0.9946,0.9937
33206.3992,46.2212,0.0000,0.6702,33159.5078,0.9948,0.9950
33206.8767,46.2593,0.0000,1.1095,33159.5079,0.9980,0.9980
33206.5866,46.1771,0.0000,0.9018,33159.5078,0.9982,0.9980
33206.4866,46.1802,0.0000,0.7986,33159.5078,0.9984,0.9981
33206.4162,46.1768,0.0000,0.7317,33159.5078,0.9984,0.9981
18389.5541,22.8566,0.0000,0.7403,18365.9572,0.9978,0.9976
-5993.0506,14.9373,0.0000,0.7015,-6008.6894,0.9978,0.9977
-14665.7123,14.8946,0.0000,0.6761,-14681.2829,0.9978,0.9976
-18087.9159,14.8995,0.0000,0.6504,-18103.4659,0.9978,0.9977
-19316.4786,14.9058,0.0000,0.6361,-19332.0206,0.9978,0.9976
-19850.1913,14.9101,0.0000,0.6178,-19865.7192,0.9978,0.9976
-20125.7072,14.9125,0.0000,0.6068,-20141.2266,0.9978,0.9976
-20286.1922,14.9138,0.0000,0.5941,-20301.7001,0.9978,0.9976
-20387.9711,14.9176,0.0000,0.5864,-20403.4751,0.9978,0.9976
-20456.6835,14.9188,0.0000,0.5769,-20472.1793,0.9977,0.9976
-20505.3249,14.9179,0.0000,0.5713,-20520.8140,0.9977,0.9976
-20541.0655,14.9183,0.0000,0.5643,-20556.5480,0.9977,0.9975
-20568.1245,14.9176,0.0000,0.5599,-20583.6020,0.9977,0.9975
-20589.1225,14.9196,0.0000,0.5520,-20604.5940,0.9977,0.9976
-20605.7567,14.9183,0.0000,0.5465,-20621.2215,0.9977,0.9975
