total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4480520.0633,46.0338,0.0000,4477158.1458,3315.8837,0.4551,0.4568
234012.4744,46.2753,0.0000,230650.3153,3315.8837,0.0901,0.0966
42721.0532,46.4495,0.0000,39358.7200,3315.8837,0.1895,0.1752
20970.4838,46.4470,0.0000,17608.1531,3315.8837,0.3171,0.2969
16411.1429,46.4483,0.0000,13048.8109,3315.8836,0.0725,0.0714
10927.2443,46.4480,0.0000,7564.9127,3315.8836,0.9969,0.9954
9798.2111,46.4497,0.0000,6435.8778,3315.8837,0.3801,0.3642
9417.6496,46.4509,0.0000,6055.3150,3315.8837,0.2429,0.2419
10152.0349,46.4476,0.0000,6789.7036,3315.8836,0.0046,0.0041
9473.5898,46.4481,0.0000,6111.2580,3315.8837,0.9920,0.9902
10040.4988,46.4472,0.0000,6678.1679,3315.8837,0.9992,0.9985
9731.5420,46.4500,0.0000,6369.2083,3315.8837,0.3158,0.3037
9388.3724,46.4452,0.0000,6026.0436,3315.8836,0.2400,0.2414
10160.0854,46.4482,0.0000,6797.7536,3315.8837,0.0029,0.0023
9491.9598,46.4426,0.0000,6129.6337,3315.8836,0.9937,0.9921
8465.1279,22.2733,0.0000,6662.9367,1779.9179,0.9994,0.9988
5767.1319,14.9443,0.0000,6355.3682,-603.1806,0.3100,0.2972
4581.7269,14.8981,0.0000,6018.2109,-1451.3821,0.2404,0.2414
4980.3630,14.9038,0.0000,6766.6900,-1801.2308,0.0024,0.0020
4172.2825,14.9068,0.0000,6086.1023,-1928.7266,0.9943,0.9928
4677.0962,14.9125,0.0000,6646.1860,-1984.0022,0.9995,0.9991
4337.4246,14.9128,0.0000,6334.9430,-2012.4313,0.3066,0.2933
4000.3606,14.9125,0.0000,6014.3910,-2028.9429,0.2413,0.2421
4749.8015,14.9162,0.0000,6774.2783,-2039.3931,0.0020,0.0018
4069.5076,14.9156,0.0000,6101.0288,-2046.4368,0.9947,0.9933
4598.6678,14.9175,0.0000,6635.1675,-2051.4172,0.9995,0.9992
4298.9237,14.9172,0.0000,6339.0797,-2055.0732,0.3048,0.2908
3981.6146,14.9169,0.0000,6024.5368,-2057.8392,0.2420,0.2421
4710.5163,14.9191,0.0000,6755.5813,-2059.9842,0.0018,0.0017
4029.8056,14.9203,0.0000,6076.5675,-2061.6822,0.9950,0.9937
