total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
410.3228,46.2985,0.0000,330.8670,33.1573,0.8709,0.8693
85.3833,46.4995,0.0000,5.7265,33.1573,0.2463,0.2543
83.7509,46.4728,0.0000,4.1208,33.1573,0.9858,0.9861
83.6367,46.4633,0.0000,4.0161,33.1573,0.9861,0.9865
83.5299,46.4314,0.0000,3.9412,33.1573,0.1206,0.1238
83.5238,46.4137,0.0000,3.9528,33.1573,0.9918,0.9926
83.5195,46.4438,0.0000,3.9184,33.1573,0.9915,0.9923
83.3900,46.3904,0.0000,3.8423,33.1573,0.0949,0.0987
83.4023,46.3809,0.0000,3.8642,33.1573,0.9954,0.9963
83.3339,46.3753,0.0000,3.8013,33.1573,0.9951,0.9961
83.3065,46.3747,0.0000,3.7745,33.1573,0.0885,0.0910
83.3312,46.3784,0.0000,3.7955,33.1573,0.9971,0.9977
83.3595,46.3946,0.0000,3.8075,33.1573,0.9967,0.9972
83.3341,46.4142,0.0000,3.7626,33.1573,0.0747,0.0755
83.2807,46.3674,0.0000,3.7560,33.1573,0.9981,0.9983
50.0615,22.8294,0.0000,3.8094,23.4227,0.9978,0.9983
16.8776,14.9919,0.0000,3.7937,-1.9080,0.0397,0.0429
8.1397,14.9113,0.0000,3.8297,-10.6013,0.9983,0.9987
2.9050,14.9030,0.0000,3.8122,-15.8101,0.9980,0.9985
0.7708,14.9048,0.0000,3.7884,-17.9224,0.0407,0.0437
-0.1600,14.9067,0.0000,3.8223,-18.8891,0.9985,0.9988
-0.6763,14.9067,0.0000,3.8116,-19.3946,0.9980,0.9985
-0.9858,14.9065,0.0000,3.7928,-19.6851,0.0411,0.0440
-1.1328,14.9092,0.0000,3.8218,-19.8638,0.9985,0.9988
-1.2471,14.9100,0.0000,3.8221,-19.9792,0.9981,0.9985
-1.3528,14.9089,0.0000,3.7950,-20.0566,0.0383,0.0415
-1.3799,14.9079,0.0000,3.8221,-20.1099,0.9985,0.9989
-1.4159,14.9092,0.0000,3.8221,-20.1472,0.9980,0.9985
-1.4836,14.9079,0.0000,3.7823,-20.1737,0.0388,0.0419
-1.4545,14.9061,0.0000,3.8323,-20.1928,0.9985,0.9989
