total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
10846.5881,46.0218,0.0000,10767.4086,33.1577,0.9426,0.9383
1274.1804,46.0146,0.0000,1195.0082,33.1577,0.9887,0.9860
1259.9471,46.1378,0.0000,1180.6516,33.1577,0.9647,0.9595
1130.7700,46.2866,0.0000,1051.3258,33.1577,0.9724,0.9672
1062.1494,46.2776,0.0000,982.7142,33.1577,0.9914,0.9890
996.1446,46.2832,0.0000,916.7037,33.1577,0.9721,0.9664
944.0956,46.2792,0.0000,864.6588,33.1577,0.9785,0.9730
885.2942,46.2865,0.0000,805.8501,33.1577,0.9935,0.9911
842.0033,46.2909,0.0000,762.5547,33.1577,0.9771,0.9714
803.2117,46.2837,0.0000,723.7703,33.1577,0.9839,0.9772
751.3841,46.2862,0.0000,671.9403,33.1577,0.9949,0.9927
718.9628,46.2906,0.0000,639.5146,33.1577,0.9807,0.9736
689.7975,46.2898,0.0000,610.3500,33.1577,0.9877,0.9808
646.6748,46.2947,0.0000,567.2225,33.1577,0.9961,0.9937
619.7027,46.2872,0.0000,540.2578,33.1577,0.9869,0.9791
564.2676,24.3713,0.0000,509.9272,29.9691,0.9909,0.9859
518.1614,14.9938,0.0000,485.9551,17.2125,0.9969,0.9948
481.7488,14.8744,0.0000,459.5327,7.3417,0.9897,0.9824
454.2136,14.8680,0.0000,435.9515,3.3942,0.9933,0.9886
425.5719,14.8710,0.0000,408.7802,1.9207,0.9975,0.9956
410.5725,14.8680,0.0000,394.4231,1.2813,0.9927,0.9857
390.2268,14.8674,0.0000,374.3986,0.9608,0.9949,0.9882
367.9463,14.8667,0.0000,352.2979,0.7818,0.9980,0.9960
355.5520,14.8675,0.0000,340.0099,0.6746,0.9937,0.9831
347.3519,14.8773,0.0000,331.8671,0.6075,0.9957,0.9892
323.5917,14.8650,0.0000,308.1629,0.5639,0.9984,0.9969
311.9265,14.8643,0.0000,296.5278,0.5344,0.9952,0.9883
298.6678,14.8662,0.0000,283.2870,0.5145,0.9964,0.9912
286.5794,14.8636,0.0000,271.2146,0.5013,0.9986,0.9969
284.0875,14.8597,0.0000,268.7356,0.4922,0.9961,0.9892
