total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
75251.0741,45.8577,0.0000,75172.0583,33.1580,0.5024,0.5015
51424.8573,45.8613,0.0000,51345.8380,33.1580,0.5072,0.5046
27605.2760,45.8614,0.0000,27526.2567,33.1580,0.5267,0.5249
5626.2973,45.8469,0.0000,5547.2924,33.1580,0.7939,0.7887
424.8604,45.7718,0.0000,345.9307,33.1580,0.8306,0.8238
336.5132,45.7773,0.0000,257.5779,33.1580,0.8603,0.8566
255.9288,45.8325,0.0000,176.9383,33.1580,0.8954,0.8941
186.7763,45.8252,0.0000,107.7931,33.1580,0.9224,0.9208
136.9771,45.8127,0.0000,58.0064,33.1580,0.9565,0.9545
109.4610,45.8121,0.0000,30.4909,33.1580,0.9781,0.9777
94.5525,45.8057,0.0000,15.5888,33.1580,0.9801,0.9793
89.9173,45.8033,0.0000,10.9560,33.1580,0.9836,0.9822
90.7760,45.8348,0.0000,11.7832,33.1580,0.9919,0.9904
89.7074,45.8382,0.0000,10.7112,33.1580,0.9930,0.9915
88.5449,45.8054,0.0000,9.5815,33.1580,0.9817,0.9774
62.6941,23.0453,0.0000,9.6151,30.0337,0.9932,0.9920
40.2214,15.0067,0.0000,9.2250,15.9898,0.9933,0.9921
30.2855,14.9100,0.0000,8.7650,6.6105,0.9811,0.9783
26.6126,14.9059,0.0000,8.4334,3.2733,0.9943,0.9928
24.8860,14.9057,0.0000,8.0587,1.9216,0.9942,0.9928
23.8995,14.9055,0.0000,7.6938,1.3002,0.9821,0.9794
23.3121,14.9088,0.0000,7.4218,0.9815,0.9949,0.9933
22.8554,14.9109,0.0000,7.1413,0.8032,0.9948,0.9932
22.4899,14.9100,0.0000,6.8837,0.6962,0.9827,0.9802
22.1880,14.9063,0.0000,6.6529,0.6288,0.9955,0.9942
21.9560,14.9105,0.0000,6.4612,0.5843,0.9955,0.9941
21.7029,14.9099,0.0000,6.2385,0.5545,0.9833,0.9796
21.5481,14.9065,0.0000,6.1080,0.5336,0.9959,0.9945
21.3885,14.9040,0.0000,5.9658,0.5187,0.9958,0.9945
21.2416,14.9060,0.0000,5.8277,0.5079,0.9833,0.9798
