total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-390.8319,46.3938,-493.7148,56.4891,0.0000,0.4712,0.4479
-410.2271,46.4147,-467.4210,10.7793,0.0000,0.0157,0.0163
-246.2297,46.4000,-295.9181,3.2885,0.0000,0.9078,0.9030
-103.4967,46.3419,-150.6320,0.7933,0.0000,0.9547,0.9513
-75.1888,46.3114,-122.2151,0.7148,0.0000,0.9722,0.9678
-70.1990,46.3033,-117.1744,0.6721,0.0000,0.9801,0.9756
-66.5710,46.2896,-113.5118,0.6512,0.0000,0.9826,0.9783
-64.1142,46.2855,-111.0431,0.6433,0.0000,0.9812,0.9779
-62.0785,46.2837,-109.0014,0.6392,0.0000,0.9809,0.9770
-61.8199,46.2834,-108.7391,0.6358,0.0000,0.9798,0.9756
-62.8454,46.2817,-109.7574,0.6303,0.0000,0.9797,0.9747
-64.0996,46.2793,-111.0061,0.6272,0.0000,0.9788,0.9732
-65.0129,46.2866,-111.9218,0.6223,0.0000,0.9775,0.9715
-66.1738,46.2878,-113.0808,0.6191,0.0000,0.9766,0.9706
-66.6736,46.2856,-113.5758,0.6166,0.0000,0.9758,0.9693
-984.7583,23.2993,-1008.7592,0.7016,0.0000,0.9782,0.9775
-1020.2922,15.1755,-1036.1633,0.6956,0.0000,0.9763,0.9763
-1020.4432,15.0241,-1036.1633,0.6960,0.0000,0.9768,0.9770
-1020.4932,14.9747,-1036.1633,0.6955,0.0000,0.9765,0.9765
-1020.5138,14.9527,-1036.1633,0.6969,0.0000,0.9771,0.9769
-1020.5283,14.9401,-1036.1633,0.6949,0.0000,0.9769,0.9772
-1020.5338,14.9338,-1036.1633,0.6957,0.0000,0.9787,0.9786
-1020.5397,14.9287,-1036.1633,0.6949,0.0000,0.9780,0.9781
-1020.5449,14.9237,-1036.1633,0.6947,0.0000,0.9789,0.9788
-1020.5489,14.9208,-1036.1633,0.6936,0.0000,0.9779,0.9782
-1020.5533,14.9178,-1036.1633,0.6922,0.0000,0.9779,0.9779
-1020.5511,14.9170,-1036.1633,0.6952,0.0000,0.9784,0.9784
-1020.5551,14.9152,-1036.1633,0.6930,0.0000,0.9782,0.9783
-1020.5587,14.9123,-1036.1633,0.6924,0.0000,0.9770,0.9777
-1020.5578,14.9113,-1036.1633,0.6942,0.0000,0.9788,0.9790
