total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
71527.7639,46.1338,-94.7028,71576.3328,0.0000,0.5030,0.5023
47709.7882,46.1364,-91.1655,47754.8173,0.0000,0.5088,0.5061
23911.2615,46.1328,-79.4709,23944.5996,0.0000,0.5366,0.5341
3414.9787,46.1492,-78.3474,3447.1769,0.0000,0.8545,0.8472
171.4836,46.1585,-88.9149,214.2399,0.0000,0.8874,0.8810
127.0584,46.1395,-57.3005,138.2194,0.0000,0.9153,0.9125
69.3500,46.1383,-52.1083,75.3201,0.0000,0.9505,0.9478
37.5267,46.1358,-42.9784,34.3693,0.0000,0.9670,0.9644
18.5035,46.1377,-44.6493,17.0151,0.0000,0.9674,0.9640
21.5466,46.1408,-36.3704,11.7761,0.0000,0.9910,0.9893
22.3960,46.1334,-32.9669,9.2296,0.0000,0.9934,0.9913
22.4858,46.1320,-31.9537,8.3075,0.0000,0.9814,0.9766
20.6231,46.1380,-33.3693,7.8544,0.0000,0.9944,0.9926
22.3795,46.1312,-31.2325,7.4808,0.0000,0.9945,0.9926
20.4957,46.1336,-32.7930,7.1550,0.0000,0.9839,0.9788
-69.5863,23.2972,-100.7831,7.8997,0.0000,0.9936,0.9920
-79.7962,15.2183,-103.6109,8.5964,0.0000,0.9667,0.9605
-80.0156,15.0689,-103.6133,8.5288,0.0000,0.9947,0.9929
-77.0714,15.0190,-103.6090,11.5185,0.0000,0.9796,0.9758
-77.3806,14.9954,-103.6071,11.2311,0.0000,0.9953,0.9940
-77.4652,14.9819,-103.6078,11.1607,0.0000,0.9813,0.9775
-77.7592,14.9759,-103.6067,10.8715,0.0000,0.9955,0.9944
-77.7936,14.9727,-103.6052,10.8389,0.0000,0.9820,0.9781
-78.0216,14.9706,-103.6044,10.6122,0.0000,0.9956,0.9946
-78.0451,14.9679,-103.6036,10.5907,0.0000,0.9825,0.9787
-78.2320,14.9661,-103.6028,10.4047,0.0000,0.9958,0.9948
-78.1933,14.9663,-103.6028,10.4432,0.0000,0.9830,0.9795
-78.4135,14.9669,-103.6032,10.2228,0.0000,0.9959,0.9950
-78.3469,14.9644,-103.6027,10.2914,0.0000,0.9835,0.9797
-78.5265,14.9644,-103.6037,10.1128,0.0000,0.9959,0.9951
