total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
800126.5957,46.4697,-957.0219,801037.1479,0.0000,0.4865,0.4870
201348.7777,46.4385,-897.3668,202199.7059,0.0000,0.5004,0.4997
9511.9228,46.2661,-1036.1625,10501.8193,0.0000,0.1070,0.1162
3584.7103,46.2653,-1036.1468,4574.5918,0.0000,0.0847,0.0802
1268.4872,46.2665,-1035.9379,2258.1587,0.0000,0.1195,0.1070
59.9527,46.2693,-1034.5401,1048.2235,0.0000,0.6441,0.6282
-75.6344,46.2699,-1034.3179,912.4137,0.0000,0.5211,0.5020
-100.2734,46.2706,-1030.0553,883.5113,0.0000,0.0351,0.0343
-105.0123,46.2682,-1029.7604,878.4799,0.0000,0.6977,0.6829
-127.0627,46.2696,-1021.8227,848.4903,0.0000,0.5526,0.5312
-115.1749,46.2741,-998.8849,837.4358,0.0000,0.0356,0.0322
-21.5551,46.2788,-908.4249,840.5910,0.0000,0.7286,0.7078
32.4035,46.2792,-827.6974,813.8218,0.0000,0.5863,0.5559
-58.3862,46.2845,-909.3103,804.6396,0.0000,0.0501,0.0473
-42.7924,46.2884,-900.9700,811.8893,0.0000,0.7552,0.7287
-214.3300,23.5322,-1027.8618,789.9997,0.0000,0.6074,0.5716
-233.2214,15.1821,-1036.0968,787.6932,0.0000,0.0631,0.0573
-221.3763,15.0358,-1036.0639,799.6518,0.0000,0.7675,0.7400
-242.6114,14.9935,-1036.0218,778.4170,0.0000,0.6179,0.5785
-243.5383,14.9750,-1035.9851,777.4718,0.0000,0.0743,0.0666
-231.7464,14.9629,-1036.0020,789.2927,0.0000,0.7774,0.7478
-253.0399,14.9549,-1035.8966,767.9019,0.0000,0.6292,0.5916
-253.2821,14.9487,-1035.9811,767.7502,0.0000,0.0840,0.0754
-237.9207,14.9432,-1036.0122,783.1482,0.0000,0.7878,0.7577
-261.2744,14.9408,-1035.9797,759.7645,0.0000,0.6390,0.6004
-262.0045,14.9360,-1035.9613,759.0208,0.0000,0.0936,0.0837
-246.1948,14.9345,-1035.9000,774.7707,0.0000,0.7959,0.7644
-269.4466,14.9327,-1035.5339,751.1545,0.0000,0.6459,0.6062
-268.3209,14.9299,-1035.6193,752.3684,0.0000,0.1026,0.0912
-252.5613,14.9295,-1036.0733,768.5825,0.0000,0.8007,0.7714
