total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
369.9546,46.2985,-7.2109,330.8670,0.0000,0.8709,0.8693
45.1527,46.4995,-7.0733,5.7265,0.0000,0.2463,0.2543
47.0549,46.4728,-3.5388,4.1208,0.0000,0.9858,0.9861
47.5082,46.4633,-2.9712,4.0161,0.0000,0.9861,0.9865
48.1641,46.4314,-2.2086,3.9412,0.0000,0.1206,0.1238
48.3401,46.4137,-2.0265,3.9528,0.0000,0.9918,0.9926
47.9426,46.4438,-2.4196,3.9184,0.0000,0.9915,0.9923
48.6369,46.3904,-1.5958,3.8423,0.0000,0.0949,0.0987
48.6263,46.3809,-1.6188,3.8642,0.0000,0.9954,0.9963
48.5281,46.3753,-1.6485,3.8013,0.0000,0.9951,0.9961
48.3940,46.3747,-1.7552,3.7745,0.0000,0.0885,0.0910
48.2106,46.3784,-1.9633,3.7955,0.0000,0.9971,0.9977
47.9527,46.3946,-2.2495,3.8075,0.0000,0.9967,0.9972
47.9317,46.4142,-2.2451,3.7626,0.0000,0.0747,0.0755
48.4085,46.3674,-1.7149,3.7560,0.0000,0.9981,0.9983
16.9768,22.9527,-9.7857,3.8098,0.0000,0.9978,0.9983
8.6201,15.1813,-10.3551,3.7939,0.0000,0.0397,0.0430
8.5046,15.0311,-10.3564,3.8299,0.0000,0.9983,0.9987
8.4347,14.9790,-10.3568,3.8125,0.0000,0.9980,0.9985
8.3868,14.9550,-10.3570,3.7888,0.0000,0.0407,0.0438
8.4068,14.9416,-10.3575,3.8227,0.0000,0.9985,0.9988
8.3868,14.9325,-10.3578,3.8120,0.0000,0.9980,0.9985
8.3608,14.9257,-10.3580,3.7932,0.0000,0.0411,0.0441
8.3885,14.9244,-10.3581,3.8222,0.0000,0.9985,0.9988
8.3839,14.9196,-10.3582,3.8224,0.0000,0.9981,0.9985
8.3543,14.9172,-10.3582,3.7953,0.0000,0.0383,0.0415
8.3794,14.9151,-10.3581,3.8224,0.0000,0.9985,0.9989
8.3775,14.9133,-10.3582,3.8224,0.0000,0.9980,0.9985
8.3361,14.9117,-10.3582,3.7825,0.0000,0.0388,0.0419
8.3842,14.9099,-10.3582,3.8325,0.0000,0.9985,0.9989
