total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
152.5729,46.1529,-4.5151,110.9351,0.0000,0.9456,0.9422
56.7534,46.1766,-3.5077,14.0846,0.0000,0.9933,0.9924
54.0698,46.1362,-2.4025,10.3361,0.0000,0.9838,0.9819
52.8283,46.1169,-2.6102,9.3215,0.0000,0.9889,0.9874
51.2578,46.1180,-3.4350,8.5748,0.0000,0.9967,0.9961
50.2491,46.1206,-4.0415,8.1700,0.0000,0.9903,0.9886
50.1462,46.1156,-3.6423,7.6729,0.0000,0.9931,0.9918
49.4808,46.1107,-3.8559,7.2261,0.0000,0.9981,0.9976
49.1913,46.1198,-4.3210,7.3925,0.0000,0.9926,0.9912
47.4258,46.1207,-5.6283,6.9334,0.0000,0.9946,0.9932
48.9608,46.1060,-3.7757,6.6305,0.0000,0.9983,0.9980
48.6884,46.1095,-4.0298,6.6087,0.0000,0.9941,0.9916
48.7984,46.1082,-3.7173,6.4075,0.0000,0.9952,0.9935
48.5339,46.1087,-3.7201,6.1453,0.0000,0.9987,0.9982
48.7655,46.1119,-4.0000,6.6535,0.0000,0.9940,0.9915
20.7931,23.9324,-9.4453,6.3059,0.0000,0.9952,0.9934
11.0503,15.1665,-10.2131,6.0969,0.0000,0.9986,0.9981
10.9383,15.0047,-10.2405,6.1741,0.0000,0.9943,0.9916
10.7423,14.9465,-10.2395,6.0353,0.0000,0.9954,0.9936
10.6369,14.9151,-10.2393,5.9611,0.0000,0.9987,0.9980
10.6582,14.8959,-10.2439,6.0063,0.0000,0.9942,0.9916
10.5369,14.8829,-10.2407,5.8947,0.0000,0.9955,0.9935
10.4705,14.8724,-10.2428,5.8409,0.0000,0.9987,0.9979
10.5633,14.8635,-10.2392,5.9390,0.0000,0.9940,0.9913
10.5073,14.8568,-10.2268,5.8773,0.0000,0.9955,0.9932
10.3476,14.8519,-10.2349,5.7306,0.0000,0.9987,0.9979
10.4677,14.8471,-10.2330,5.8536,0.0000,0.9941,0.9912
10.3461,14.8438,-10.2374,5.7397,0.0000,0.9956,0.9931
10.3052,14.8407,-10.2292,5.6937,0.0000,0.9987,0.9978
10.3767,14.8385,-10.2335,5.7717,0.0000,0.9942,0.9911
