total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
7491.6219,45.8467,-71.5066,7517.2818,0.0000,0.5024,0.5015
5118.1299,45.8584,-62.3354,5134.6069,0.0000,0.5073,0.5046
2747.8694,45.8602,-50.6533,2752.6625,0.0000,0.5268,0.5252
551.8245,45.8425,-43.9783,549.9602,0.0000,0.7889,0.7861
41.8366,45.7734,-39.0145,35.0776,0.0000,0.8318,0.8242
44.4313,45.7966,-26.7442,25.3789,0.0000,0.8639,0.8597
34.2858,45.7934,-28.7760,17.2684,0.0000,0.8965,0.8975
28.1514,45.7926,-28.1109,10.4697,0.0000,0.9257,0.9247
25.7435,45.7855,-25.6481,5.6060,0.0000,0.9493,0.9470
26.2878,45.7760,-22.1929,2.7048,0.0000,0.9707,0.9706
29.0189,45.7561,-18.1103,1.3732,0.0000,0.9830,0.9825
30.9138,45.7352,-15.7444,0.9229,0.0000,0.9898,0.9877
31.9406,45.7262,-14.5733,0.7878,0.0000,0.9909,0.9883
32.4082,45.7251,-14.0494,0.7324,0.0000,0.9908,0.9881
32.6492,45.7197,-13.7672,0.6967,0.0000,0.9907,0.9875
-78.6281,22.7309,-102.1205,0.7614,0.0000,0.9899,0.9883
-87.7106,15.1811,-103.6163,0.7246,0.0000,0.9903,0.9888
-87.8942,15.0220,-103.6156,0.6994,0.0000,0.9897,0.9879
-87.9805,14.9751,-103.6141,0.6585,0.0000,0.9903,0.9886
-88.0274,14.9555,-103.6153,0.6324,0.0000,0.9892,0.9865
-88.0695,14.9449,-103.6154,0.6010,0.0000,0.9907,0.9886
-88.1015,14.9387,-103.6153,0.5750,0.0000,0.9907,0.9885
-88.1316,14.9330,-103.6152,0.5506,0.0000,0.9905,0.9883
-88.1565,14.9275,-103.6153,0.5313,0.0000,0.9911,0.9888
-88.1817,14.9234,-103.6154,0.5103,0.0000,0.9905,0.9882
-88.2004,14.9214,-103.6153,0.4935,0.0000,0.9922,0.9899
-88.2145,14.9187,-103.6154,0.4821,0.0000,0.9907,0.9885
-88.2338,14.9156,-103.6153,0.4659,0.0000,0.9913,0.9888
-88.2503,14.9131,-103.6154,0.4520,0.0000,0.9918,0.9895
-88.2561,14.9122,-103.6153,0.4470,0.0000,0.9917,0.9896
