total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
281795.2923,46.8210,-78.9205,281827.3917,0.0000,0.5261,0.5252
59236.6934,46.7694,-82.0809,59272.0049,0.0000,0.8613,0.8584
1101.5660,46.4338,-103.6141,1158.7462,0.0000,0.9381,0.9320
236.3739,46.4327,-103.5771,293.5184,0.0000,0.9773,0.9745
124.8006,46.4354,-102.4264,180.7916,0.0000,0.9632,0.9582
105.7756,46.5754,-90.5868,149.7870,0.0000,0.9803,0.9769
95.7962,46.8624,-92.3064,141.2402,0.0000,0.9631,0.9593
104.2862,46.8637,-54.5577,111.9801,0.0000,0.9837,0.9794
107.0631,46.6287,-61.2180,121.6524,0.0000,0.9304,0.9253
100.9378,46.5364,-52.5683,106.9696,0.0000,0.9913,0.9889
93.8786,46.5433,-45.9592,93.2945,0.0000,0.9796,0.9762
90.0029,46.5535,-44.5292,87.9786,0.0000,0.9842,0.9802
87.5822,46.5649,-43.3457,84.3630,0.0000,0.9932,0.9913
83.1466,46.5658,-45.0515,81.6322,0.0000,0.9836,0.9794
81.4208,46.5735,-43.9023,78.7496,0.0000,0.9870,0.9823
3.4592,23.5616,-101.9863,81.8838,0.0000,0.9934,0.9916
-8.0265,15.2187,-103.6086,80.3634,0.0000,0.9837,0.9804
-10.6532,15.0577,-103.6077,77.8968,0.0000,0.9868,0.9835
-12.9390,15.0128,-103.6005,75.6487,0.0000,0.9942,0.9928
-14.0728,14.9974,-103.6022,74.5320,0.0000,0.9853,0.9824
-16.0425,14.9908,-103.5958,72.5624,0.0000,0.9882,0.9851
-17.8403,14.9850,-103.5958,70.7706,0.0000,0.9947,0.9938
-18.7865,14.9815,-103.5985,69.8304,0.0000,0.9860,0.9836
-19.9825,14.9793,-103.5960,68.6342,0.0000,0.9897,0.9878
-21.9209,14.9759,-103.5934,66.6966,0.0000,0.9952,0.9943
-22.2838,14.9755,-103.5934,66.3341,0.0000,0.9871,0.9845
-24.1622,14.9727,-103.5936,64.4587,0.0000,0.9903,0.9886
-25.2714,14.9728,-103.5958,63.3516,0.0000,0.9956,0.9948
-25.8997,14.9704,-103.5941,62.7241,0.0000,0.9882,0.9865
-27.1215,14.9706,-103.5938,61.5017,0.0000,0.9911,0.9900
