total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
167038.7881,46.2187,-10099.9720,177092.5414,0.0000,0.2097,0.2129
23326.2803,46.2198,-10351.2367,33631.2972,0.0000,0.1726,0.1670
6335.2590,46.2165,-10346.7342,16635.7766,0.0000,0.7373,0.7241
-3473.1608,46.2140,-10334.8245,6815.4497,0.0000,0.6196,0.6139
-4102.6658,46.2103,-10189.6732,6040.7972,0.0000,0.1171,0.1170
-4065.6330,46.2008,-9927.1753,5815.3415,0.0000,0.9342,0.9296
-4083.8681,46.1828,-9656.7461,5526.6952,0.0000,0.6879,0.6545
-3811.1979,46.1577,-9371.0027,5513.6472,0.0000,0.2349,0.1983
-4166.1545,46.1290,-9237.7857,5025.5022,0.0000,0.9489,0.9310
-4256.7489,46.1081,-8879.9635,4577.1065,0.0000,0.8158,0.7285
-4520.9971,46.0851,-8853.6808,4286.5987,0.0000,0.5287,0.3913
-5038.7126,46.0786,-8897.1104,3812.3191,0.0000,0.9742,0.9405
-5405.5273,46.0750,-8935.8923,3484.2901,0.0000,0.8797,0.7714
-5405.4930,46.0692,-8958.0449,3506.4827,0.0000,0.6732,0.4726
-5719.6379,46.0655,-8975.6159,3209.9124,0.0000,0.9803,0.9316
-7167.5390,24.1230,-10172.0621,2980.4001,0.0000,0.8986,0.7909
-7297.1180,15.1924,-10358.8249,3046.5144,0.0000,0.7223,0.5147
-7529.5283,15.0387,-10359.7622,2815.1952,0.0000,0.9874,0.9394
-7683.7290,14.9881,-10359.9303,2661.2132,0.0000,0.9085,0.7929
-7605.6067,14.9653,-10360.1263,2739.5543,0.0000,0.7381,0.5257
-7812.6736,14.9516,-10360.0150,2532.3898,0.0000,0.9905,0.9416
-7919.9688,14.9434,-10359.9836,2425.0713,0.0000,0.9162,0.8000
-7831.1716,14.9369,-10359.9759,2513.8674,0.0000,0.7460,0.5272
-8249.1468,14.9326,-10359.8627,2095.7834,0.0000,0.6710,0.4911
-8423.3814,14.9306,-10359.7312,1921.4192,0.0000,0.9967,0.9706
-8650.1332,14.9269,-10359.7321,1694.6720,0.0000,0.9308,0.8280
-8797.4093,14.9265,-10359.4342,1547.0984,0.0000,0.9000,0.7697
-8718.2757,14.9235,-10359.4291,1626.2298,0.0000,0.9964,0.9726
-8773.6741,14.9242,-10359.3261,1570.7278,0.0000,0.9573,0.8681
-8846.5774,14.9222,-10358.9126,1497.4130,0.0000,0.9956,0.9745
