total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
438761.4886,46.0374,-9000.4266,447715.8777,0.0000,0.4551,0.4568
13533.4388,46.3373,-9526.8233,23013.9247,0.0000,0.0858,0.0910
-6417.5573,46.4494,-10355.2616,3891.2548,0.0000,0.1805,0.1678
-8436.7230,46.4464,-10311.8357,1828.6663,0.0000,0.7185,0.7020
-9358.8916,46.4463,-10259.7101,854.3722,0.0000,0.0858,0.0757
-9405.9668,46.4381,-10223.3042,770.8992,0.0000,0.1039,0.0925
-9351.6144,46.4262,-10151.4264,753.3858,0.0000,0.8870,0.8812
-9227.6800,46.4169,-10014.7296,740.6327,0.0000,0.0766,0.0678
-9043.9689,46.4073,-9827.1984,736.8223,0.0000,0.1058,0.0950
-9059.6730,46.3970,-9827.0818,721.0118,0.0000,0.9024,0.8943
-8764.3330,46.3849,-9520.1539,709.4359,0.0000,0.0876,0.0778
-8621.9358,46.3729,-9371.2495,702.9408,0.0000,0.1372,0.1155
-8942.4412,46.3561,-9661.8924,673.0952,0.0000,0.9209,0.9086
-7796.0760,46.3497,-8509.2574,666.8318,0.0000,0.1240,0.1026
-8581.7347,46.3394,-9273.8542,645.7801,0.0000,0.1957,0.1506
-9569.5517,23.3370,-10311.8034,718.9148,0.0000,0.9112,0.9080
-9633.1817,15.1787,-10361.6328,713.2724,0.0000,0.0522,0.0486
-9625.3033,15.0277,-10361.6328,721.3018,0.0000,0.0760,0.0706
-9632.5381,14.9771,-10361.6328,714.1176,0.0000,0.9109,0.9076
-9636.4185,14.9536,-10361.6328,710.2607,0.0000,0.0517,0.0477
-9627.2055,14.9399,-10361.6328,719.4874,0.0000,0.0744,0.0691
-9636.8842,14.9309,-10361.6328,709.8178,0.0000,0.9142,0.9108
-9639.6377,14.9261,-10361.6328,707.0690,0.0000,0.0497,0.0463
-9631.4589,14.9225,-10361.6328,715.2514,0.0000,0.0724,0.0672
-9639.6616,14.9188,-10361.6328,707.0523,0.0000,0.9166,0.9134
-9645.2430,14.9172,-10361.6328,701.4725,0.0000,0.0487,0.0451
-9634.5373,14.9152,-10361.6329,712.1803,0.0000,0.0709,0.0654
-9641.3629,14.9134,-10361.6328,705.3565,0.0000,0.9179,0.9147
-9646.1560,14.9124,-10361.6328,700.5645,0.0000,0.0478,0.0440
-9634.8327,14.9101,-10361.6328,711.8900,0.0000,0.0694,0.0640
