total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-4578.7081,46.2305,-4936.0253,311.0868,0.0000,0.9375,0.9358
-3421.2371,46.2171,-3521.6530,54.1988,0.0000,0.9915,0.9919
-3850.9969,46.2117,-3951.7464,54.5378,0.0000,0.9601,0.9596
-5831.3426,46.2160,-5931.3074,53.7488,0.0000,0.9939,0.9949
-5722.2953,46.2173,-5822.6844,54.1718,0.0000,0.9661,0.9673
-7139.0429,46.2275,-7238.6778,53.4074,0.0000,0.9951,0.9962
-5297.2125,46.2310,-5397.2517,53.8082,0.0000,0.9722,0.9733
-5189.0086,46.2312,-5288.2836,53.0437,0.0000,0.9962,0.9971
-4700.4029,46.2437,-4800.2976,53.6510,0.0000,0.9717,0.9737
-4571.7326,46.4154,-4671.2165,53.0686,0.0000,0.9965,0.9974
-3467.3595,46.4169,-3567.3595,53.5831,0.0000,0.9757,0.9781
-2731.1034,46.4062,-2830.6757,53.1661,0.0000,0.9970,0.9978
-2868.8218,46.4035,-2968.8056,53.5802,0.0000,0.9779,0.9802
-3014.9019,46.4013,-3114.4651,53.1619,0.0000,0.9973,0.9980
-3202.6007,46.4005,-3302.4361,53.4348,0.0000,0.9793,0.9815
-10132.9180,22.7454,-10208.7534,53.0900,0.0000,0.9973,0.9981
-10292.9348,15.1908,-10361.6328,53.5071,0.0000,0.9791,0.9816
-10293.4187,15.0372,-10361.6328,53.1768,0.0000,0.9975,0.9982
-10293.1343,14.9831,-10361.6329,53.5155,0.0000,0.9800,0.9822
-10293.6015,14.9567,-10361.6328,53.0746,0.0000,0.9976,0.9983
-10293.1479,14.9409,-10361.6328,53.5440,0.0000,0.9804,0.9826
-10293.4230,14.9320,-10361.6329,53.2778,0.0000,0.9976,0.9983
-10293.0868,14.9261,-10361.6328,53.6199,0.0000,0.9803,0.9825
-10293.5775,14.9208,-10361.6328,53.1345,0.0000,0.9976,0.9983
-10293.1917,14.9174,-10361.6328,53.5237,0.0000,0.9811,0.9832
-10293.7555,14.9159,-10361.6328,52.9614,0.0000,0.9978,0.9984
-10293.2769,14.9141,-10361.6327,53.4417,0.0000,0.9809,0.9831
-10293.8031,14.9126,-10361.6328,52.9171,0.0000,0.9978,0.9985
-10293.1775,14.9105,-10361.6328,53.5447,0.0000,0.9811,0.9833
-10293.6912,14.9104,-10361.6328,53.0313,0.0000,0.9977,0.9984
