total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
8312838.6730,46.5494,-98.8046,8312890.9282,0.0000,0.4764,0.4761
2286207.0592,46.5622,-103.3185,2286263.8154,0.0000,0.4996,0.4999
169226.4013,46.2730,-100.4387,169280.5670,0.0000,0.2320,0.2438
112489.8304,46.1239,-103.6163,112547.3228,0.0000,0.1421,0.1522
63447.9009,46.1215,-103.6163,63505.3958,0.0000,0.2443,0.2505
30826.2029,46.1250,-103.6163,30883.6943,0.0000,0.5732,0.5612
14425.1189,46.1210,-103.6161,14482.6140,0.0000,0.2499,0.2358
12193.9786,46.1222,-103.6159,12251.4723,0.0000,0.6943,0.6792
12320.6671,46.1193,-103.6159,12378.1637,0.0000,0.2401,0.2278
12079.3760,46.1195,-103.6160,12136.8725,0.0000,0.6965,0.6812
12275.7530,46.1207,-103.6161,12333.2483,0.0000,0.2375,0.2261
12023.9017,46.1243,-103.6158,12081.3932,0.0000,0.6974,0.6820
12208.1667,46.1221,-103.6133,12265.6578,0.0000,0.2366,0.2254
11968.5815,46.1211,-103.6042,12026.0646,0.0000,0.6978,0.6823
12151.4626,46.1248,-103.5893,12208.9270,0.0000,0.2360,0.2248
11933.9784,22.9836,-103.6148,12014.6096,0.0000,0.6985,0.6830
12097.8640,15.1900,-103.6158,12186.2898,0.0000,0.2350,0.2235
11858.7528,15.0348,-103.6159,11947.3339,0.0000,0.7003,0.6849
12032.8376,14.9801,-103.6158,12121.4733,0.0000,0.2329,0.2222
11791.2963,14.9536,-103.6157,11879.9584,0.0000,0.7030,0.6878
12001.4050,14.9398,-103.6156,12090.0809,0.0000,0.2321,0.2213
11744.0159,14.9300,-103.6155,11832.7014,0.0000,0.7035,0.6884
11930.8258,14.9248,-103.6154,12019.5164,0.0000,0.2302,0.2197
11703.8394,14.9210,-103.6153,11792.5336,0.0000,0.7067,0.6918
11879.6252,14.9177,-103.6152,11968.3227,0.0000,0.2293,0.2188
11665.6240,14.9150,-103.6151,11754.3241,0.0000,0.7075,0.6927
11872.4419,14.9125,-103.6151,11961.1445,0.0000,0.2278,0.2173
11587.6463,14.9123,-103.6150,11676.3491,0.0000,0.7112,0.6967
11806.1575,14.9107,-103.6148,11894.8616,0.0000,0.2265,0.2162
11546.1931,14.9108,-103.6149,11634.8973,0.0000,0.7122,0.6978
