total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
6335043.9461,46.3624,-1009.2031,6336006.7868,0.0000,0.5042,0.5036
3952892.5242,46.3702,-1035.2139,3953881.3679,0.0000,0.5120,0.5094
1576845.8269,46.3674,-1034.9464,1577834.4059,0.0000,0.6185,0.6108
95958.2259,46.3616,-1007.8911,96919.7555,0.0000,0.7880,0.7831
38049.2138,46.2259,-903.1891,38906.1770,0.0000,0.8385,0.8355
22413.4904,46.2155,-909.7031,23276.9781,0.0000,0.8893,0.8877
12030.8901,46.2204,-903.5649,12888.2347,0.0000,0.9384,0.9362
4718.3803,46.2055,-886.5916,5558.7664,0.0000,0.9631,0.9599
805.6665,46.1505,-928.9306,1688.4466,0.0000,0.9819,0.9792
180.3691,46.1322,-931.8965,1066.1333,0.0000,0.9849,0.9823
142.0018,46.1156,-921.1698,1017.0560,0.0000,0.9852,0.9830
114.2216,46.1040,-903.9911,972.1087,0.0000,0.9864,0.9832
80.8548,46.1138,-897.9208,932.6618,0.0000,0.9865,0.9837
55.5680,46.1015,-884.3760,893.8425,0.0000,0.9870,0.9839
36.2026,46.1062,-872.1714,862.2677,0.0000,0.9879,0.9851
-162.1357,24.0501,-1024.7006,838.5148,0.0000,0.9873,0.9853
-204.1070,15.1547,-1033.7068,814.4451,0.0000,0.9877,0.9854
-229.5891,14.9946,-1033.7713,789.1876,0.0000,0.9880,0.9864
-248.7296,14.9409,-1032.0761,768.4056,0.0000,0.9884,0.9862
-268.4445,14.9201,-1032.5637,749.1991,0.0000,0.9889,0.9869
-292.1536,14.9061,-1034.6073,727.5476,0.0000,0.9895,0.9874
-312.6286,14.8975,-1034.7367,707.2106,0.0000,0.9896,0.9872
-329.1576,14.8903,-1033.9520,689.9041,0.0000,0.9896,0.9864
-346.5255,14.8835,-1033.6057,672.1967,0.0000,0.9904,0.9873
-364.6378,14.8802,-1034.1905,654.6725,0.0000,0.9908,0.9877
-381.3191,14.8764,-1035.4896,639.2941,0.0000,0.9908,0.9881
-395.9055,14.8724,-1035.3185,624.5406,0.0000,0.9907,0.9873
-410.0195,14.8708,-1035.1698,610.2795,0.0000,0.9911,0.9881
-422.0557,14.8705,-1034.7974,597.8712,0.0000,0.9910,0.9878
-436.6426,14.8686,-1035.5666,584.0554,0.0000,0.9913,0.9886
