total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-4016.6573,46.2425,-4073.5762,10.6764,0.0000,0.9650,0.9624
-1997.8588,46.1596,-2045.1569,1.1385,0.0000,0.9817,0.9780
-1192.6253,46.1073,-1239.5672,0.8345,0.0000,0.9851,0.9818
-934.3391,46.0937,-981.1814,0.7487,0.0000,0.9869,0.9840
-864.8169,46.0879,-911.5956,0.6909,0.0000,0.9836,0.9806
-842.5781,46.0890,-889.3203,0.6531,0.0000,0.9883,0.9855
-825.3651,46.0891,-872.0548,0.6006,0.0000,0.9899,0.9877
-798.4851,46.0863,-845.1416,0.5702,0.0000,0.9892,0.9863
-762.1902,46.0756,-808.8016,0.5358,0.0000,0.9909,0.9887
-727.0392,46.0585,-773.6024,0.5047,0.0000,0.9916,0.9897
-678.3958,46.0307,-724.9117,0.4852,0.0000,0.9915,0.9897
-654.1133,45.9974,-700.5621,0.4514,0.0000,0.9915,0.9897
-652.4399,45.9960,-698.8620,0.4261,0.0000,0.9939,0.9925
-650.4484,46.0038,-696.9397,0.4876,0.0000,0.9924,0.9908
-648.5502,46.0023,-694.9166,0.3641,0.0000,0.9917,0.9900
-9538.5268,23.1289,-9562.5770,0.9213,0.0000,0.9919,0.9908
-10346.1530,15.1937,-10361.6328,0.2860,0.0000,0.9919,0.9902
-10346.3344,15.0324,-10361.6329,0.2661,0.0000,0.9947,0.9934
-10346.2861,14.9780,-10361.6328,0.3686,0.0000,0.9962,0.9955
-10336.5441,14.9523,-10361.6328,10.1364,0.0000,0.9941,0.9962
-10339.8001,14.9379,-10361.6328,6.8948,0.0000,0.9866,0.9863
-10346.1330,14.9281,-10361.6329,0.5717,0.0000,0.9881,0.9867
-10346.2532,14.9230,-10361.6328,0.4566,0.0000,0.9898,0.9885
-10346.3187,14.9185,-10361.6328,0.3956,0.0000,0.9906,0.9894
-10346.3610,14.9140,-10361.6329,0.3579,0.0000,0.9910,0.9899
-10346.3896,14.9112,-10361.6328,0.3320,0.0000,0.9913,0.9901
-10346.4136,14.9072,-10361.6328,0.3120,0.0000,0.9915,0.9904
-10346.4326,14.9049,-10361.6328,0.2953,0.0000,0.9917,0.9906
-10346.4468,14.9029,-10361.6328,0.2832,0.0000,0.9918,0.9907
-10346.4583,14.9023,-10361.6328,0.2722,0.0000,0.9923,0.9912
