total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4673842.1956,46.3460,-10.0895,4673805.9391,0.0000,0.4714,0.4715
272793.3854,46.3469,-10.3493,272757.3878,0.0000,0.3111,0.3297
33700.2113,46.2864,-9.9633,33663.8881,0.0000,0.7155,0.7291
13770.3783,46.1734,-10.3208,13734.5257,0.0000,0.6184,0.6276
8490.2491,46.2340,-9.0930,8453.1081,0.0000,0.8976,0.8995
8486.8403,46.2898,-9.0221,8449.5726,0.0000,0.6525,0.6588
8037.2491,46.2847,-8.7392,7999.7036,0.0000,0.9068,0.9059
8204.7161,46.2883,-8.6920,8167.1199,0.0000,0.6821,0.6795
7692.4331,46.2867,-8.5954,7654.7418,0.0000,0.9203,0.9154
7815.6304,46.2866,-8.6248,7777.9686,0.0000,0.7074,0.7036
7894.0999,46.3213,-9.9341,7857.7126,0.0000,0.9130,0.9144
8063.1569,46.3497,-10.3567,8027.1639,0.0000,0.6872,0.6978
7744.3296,46.3460,-10.3556,7708.3392,0.0000,0.9169,0.9181
7963.4027,46.3513,-10.3535,7927.4049,0.0000,0.6975,0.7056
7641.6029,46.3486,-10.3525,7605.6069,0.0000,0.9226,0.9236
7853.5682,22.8672,-10.3550,7841.0560,0.0000,0.7070,0.7150
7537.9051,15.2155,-10.3292,7533.0188,0.0000,0.9244,0.9253
7720.3551,15.0526,-10.0981,7715.4007,0.0000,0.7246,0.7269
7275.3718,14.9918,-10.0170,7270.3970,0.0000,0.9377,0.9327
7387.3504,14.9616,-9.9420,7382.3309,0.0000,0.7556,0.7495
7016.1246,14.9430,-9.8699,7011.0514,0.0000,0.9372,0.9324
7138.8207,14.9341,-9.9915,7133.8781,0.0000,0.7806,0.7645
6685.5541,14.9260,-10.0105,6680.6386,0.0000,0.9507,0.9399
6802.3655,14.9221,-9.9620,6797.4054,0.0000,0.8047,0.7802
6412.6883,14.9188,-9.9290,6407.6985,0.0000,0.9558,0.9412
6518.5527,14.9170,-9.9172,6513.5528,0.0000,0.8257,0.7867
6144.4788,14.9164,-9.8975,6139.4599,0.0000,0.9614,0.9442
6346.6573,14.9162,-9.7285,6341.4696,0.0000,0.8422,0.7942
5879.9469,14.9160,-9.8937,5874.9246,0.0000,0.9659,0.9468
5959.7311,14.9155,-9.9493,5954.7649,0.0000,0.8656,0.7997
