total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
283808.8003,46.5575,-9.6577,283771.9005,0.0000,0.5246,0.5247
61102.2444,46.4871,-9.4521,61065.2094,0.0000,0.7899,0.7846
3735.2475,46.1368,-10.3616,3699.4723,0.0000,0.8555,0.8451
2205.4617,46.1357,-10.3613,2169.6873,0.0000,0.8961,0.8833
1097.2743,46.1325,-10.3598,1061.5016,0.0000,0.9564,0.9560
348.7086,46.1343,-10.3282,312.9025,0.0000,0.9870,0.9846
138.9392,46.1348,-9.5837,102.3881,0.0000,0.9791,0.9768
132.5278,46.2652,-7.3282,93.5908,0.0000,0.9834,0.9806
128.8453,46.2876,-6.2190,88.7767,0.0000,0.9928,0.9911
125.5302,46.2825,-5.5498,84.7974,0.0000,0.9828,0.9812
121.6545,46.2865,-5.1304,80.4984,0.0000,0.9865,0.9837
117.8644,46.2878,-5.5641,77.1408,0.0000,0.9941,0.9929
116.1091,46.2865,-4.4941,74.3167,0.0000,0.9839,0.9821
112.1529,46.2896,-5.5042,71.3674,0.0000,0.9895,0.9873
109.7272,46.2857,-4.4313,67.8728,0.0000,0.9950,0.9938
82.2326,24.3609,-9.5441,67.4158,0.0000,0.9870,0.9842
70.6061,15.1781,-10.1112,65.5392,0.0000,0.9905,0.9894
67.9266,15.0106,-10.1686,63.0847,0.0000,0.9956,0.9945
66.9177,14.9561,-10.0807,62.0423,0.0000,0.9890,0.9861
64.3533,14.9305,-10.1786,59.6014,0.0000,0.9917,0.9898
62.4270,14.9158,-10.2360,57.7472,0.0000,0.9961,0.9951
61.6823,14.9062,-10.2472,57.0233,0.0000,0.9901,0.9881
60.4125,14.8964,-10.2431,55.7593,0.0000,0.9924,0.9903
58.6951,14.8902,-10.2483,54.0532,0.0000,0.9964,0.9955
59.6504,14.8857,-10.0332,54.7978,0.0000,0.9904,0.9883
58.6429,14.8738,-10.0611,53.8302,0.0000,0.9927,0.9905
56.9179,14.8715,-10.1155,52.1619,0.0000,0.9966,0.9958
56.4017,14.8654,-10.1020,51.6384,0.0000,0.9910,0.9888
55.3935,14.8686,-10.0387,50.5636,0.0000,0.9931,0.9912
54.0669,14.8663,-10.1177,49.3184,0.0000,0.9968,0.9960
