total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
2978.2139,46.4705,-782.4492,3714.1926,0.0000,0.6025,0.5967
-229.3452,46.4796,-700.4869,424.6620,0.0000,0.5600,0.5549
-317.4619,46.4612,-633.7367,269.8136,0.0000,0.2318,0.2279
-616.5235,46.4684,-820.0630,157.0711,0.0000,0.9755,0.9755
-815.4614,46.4758,-910.1828,48.2456,0.0000,0.0188,0.0184
-727.4667,46.4789,-815.5045,41.5589,0.0000,0.9315,0.9148
-629.3589,46.4654,-718.2937,42.4694,0.0000,0.9943,0.9945
-626.5958,46.4691,-710.8723,37.8074,0.0000,0.0324,0.0286
-490.0587,46.4629,-577.9868,41.4653,0.0000,0.9156,0.8998
-456.9409,46.4673,-544.9245,41.5163,0.0000,0.9956,0.9936
-369.9026,46.4570,-453.7110,37.3514,0.0000,0.0150,0.0156
-511.2259,46.4640,-598.8284,41.1386,0.0000,0.9454,0.9272
-589.5040,46.4668,-677.2394,41.2686,0.0000,0.9945,0.9918
-521.3988,46.4603,-604.1882,36.3291,0.0000,0.0210,0.0188
-418.9790,46.4609,-505.7990,40.3591,0.0000,0.9488,0.9244
-953.3342,23.3296,-1019.7708,43.1071,0.0000,0.9961,0.9974
-981.9522,15.1842,-1036.1633,39.0269,0.0000,0.0087,0.0107
-978.9911,15.0317,-1036.1633,42.1405,0.0000,0.9502,0.9574
-978.2398,14.9793,-1036.1633,42.9442,0.0000,0.9959,0.9972
-982.2595,14.9547,-1036.1633,38.9491,0.0000,0.0077,0.0096
-979.0683,14.9416,-1036.1633,42.1535,0.0000,0.9526,0.9597
-978.2410,14.9332,-1036.1633,42.9891,0.0000,0.9959,0.9972
-982.2896,14.9287,-1036.1633,38.9451,0.0000,0.0075,0.0094
-979.0719,14.9242,-1036.1633,42.1672,0.0000,0.9511,0.9582
-978.1099,14.9217,-1036.1633,43.1317,0.0000,0.9955,0.9970
-982.3043,14.9169,-1036.1633,38.9421,0.0000,0.0080,0.0099
-979.1018,14.9156,-1036.1633,42.1460,0.0000,0.9513,0.9584
-978.1862,14.9134,-1036.1633,43.0637,0.0000,0.9959,0.9972
-982.3226,14.9130,-1036.1633,38.9277,0.0000,0.0076,0.0095
-979.1143,14.9109,-1036.1632,42.1380,0.0000,0.9504,0.9576
