total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
71622.4667,46.1338,0.0000,71576.3328,0.0000,0.5030,0.5023
47800.9537,46.1364,0.0000,47754.8173,0.0000,0.5088,0.5061
23990.7324,46.1328,0.0000,23944.5996,0.0000,0.5366,0.5341
3493.3261,46.1492,0.0000,3447.1769,0.0000,0.8545,0.8472
260.3984,46.1585,0.0000,214.2399,0.0000,0.8874,0.8810
184.3588,46.1395,0.0000,138.2194,0.0000,0.9153,0.9125
121.4584,46.1383,0.0000,75.3201,0.0000,0.9505,0.9478
80.5051,46.1358,0.0000,34.3693,0.0000,0.9670,0.9644
63.1528,46.1377,0.0000,17.0151,0.0000,0.9674,0.9640
57.9169,46.1408,0.0000,11.7761,0.0000,0.9910,0.9893
55.3630,46.1334,0.0000,9.2296,0.0000,0.9934,0.9913
54.4395,46.1320,0.0000,8.3075,0.0000,0.9814,0.9766
53.9924,46.1380,0.0000,7.8544,0.0000,0.9944,0.9926
53.6120,46.1312,0.0000,7.4808,0.0000,0.9945,0.9926
53.2886,46.1336,0.0000,7.1550,0.0000,0.9839,0.9788
30.8647,23.8152,0.0000,7.0495,0.0000,0.9951,0.9929
21.6443,15.2250,0.0000,6.4193,0.0000,0.9954,0.9932
21.1558,15.0425,0.0000,6.1133,0.0000,0.9832,0.9781
20.8689,14.9707,0.0000,5.8982,0.0000,0.9959,0.9937
20.6900,14.9413,0.0000,5.7486,0.0000,0.9958,0.9936
20.4579,14.9220,0.0000,5.5359,0.0000,0.9845,0.9780
20.3698,14.9099,0.0000,5.4599,0.0000,0.9962,0.9939
20.2669,14.9007,0.0000,5.3662,0.0000,0.9962,0.9939
20.1698,14.8955,0.0000,5.2743,0.0000,0.9858,0.9792
19.9803,14.8839,0.0000,5.0964,0.0000,0.9966,0.9948
19.8883,14.8765,0.0000,5.0118,0.0000,0.9965,0.9947
19.7518,14.8733,0.0000,4.8786,0.0000,0.9870,0.9807
19.7633,14.8707,0.0000,4.8926,0.0000,0.9968,0.9950
19.6239,14.8642,0.0000,4.7597,0.0000,0.9966,0.9949
19.5017,14.8596,0.0000,4.6421,0.0000,0.9875,0.9809
