total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
11603.6719,46.2259,0.0000,11557.4460,0.0000,0.9410,0.9332
1597.5022,46.0867,0.0000,1551.4155,0.0000,0.9869,0.9850
1306.1684,46.0595,0.0000,1260.1088,0.0000,0.9728,0.9681
1346.0541,46.0626,0.0000,1299.9915,0.0000,0.9509,0.9416
1183.0306,46.0581,0.0000,1136.9725,0.0000,0.9900,0.9877
1192.1746,46.0600,0.0000,1146.1146,0.0000,0.9950,0.9937
1182.2284,46.0616,0.0000,1136.1668,0.0000,0.9938,0.9919
1041.1850,46.0591,0.0000,995.1259,0.0000,0.9866,0.9824
1092.5689,46.0645,0.0000,1046.5043,0.0000,0.9663,0.9559
982.4828,46.0592,0.0000,936.4237,0.0000,0.9940,0.9912
982.8498,46.0553,0.0000,936.7945,0.0000,0.9969,0.9954
1005.4825,46.0640,0.0000,959.4185,0.0000,0.9960,0.9939
884.4963,46.0632,0.0000,838.4331,0.0000,0.9897,0.9838
943.7983,46.0643,0.0000,897.7340,0.0000,0.9752,0.9646
858.5828,46.0606,0.0000,812.5222,0.0000,0.9954,0.9915
850.8592,23.6363,0.0000,827.2229,0.0000,0.9975,0.9954
903.9785,15.2052,0.0000,888.7732,0.0000,0.9963,0.9932
793.9270,15.0495,0.0000,778.8774,0.0000,0.9982,0.9967
1241.5377,14.9966,0.0000,1226.5411,0.0000,0.9824,0.9688
1295.4662,14.9715,0.0000,1280.4946,0.0000,0.9963,0.9934
1141.2205,14.9565,0.0000,1126.2641,0.0000,0.9812,0.9631
1079.8239,14.9475,0.0000,1064.8764,0.0000,0.9871,0.9710
987.7569,14.9400,0.0000,972.8169,0.0000,0.9963,0.9927
939.2306,14.9347,0.0000,924.2959,0.0000,0.9851,0.9648
901.5394,14.9309,0.0000,886.6084,0.0000,0.9892,0.9728
830.9399,14.9293,0.0000,816.0106,0.0000,0.9971,0.9926
793.4330,14.9263,0.0000,778.5067,0.0000,0.9882,0.9638
762.0187,14.9250,0.0000,747.0937,0.0000,0.9913,0.9716
714.3533,14.9237,0.0000,699.4296,0.0000,0.9978,0.9932
678.6527,14.9228,0.0000,663.7299,0.0000,0.9906,0.9633
