total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
4523.3313,46.1144,0.0000,4477.2169,0.0000,0.4552,0.4573
271.6866,46.2897,0.0000,225.3969,0.0000,0.0848,0.0902
84.8931,46.4311,0.0000,38.4620,0.0000,0.1366,0.1286
65.3568,46.4010,0.0000,18.9559,0.0000,0.1619,0.1484
56.9314,46.4305,0.0000,10.5009,0.0000,0.1810,0.1773
55.7391,46.4416,0.0000,9.2975,0.0000,0.0521,0.0533
50.6277,46.4323,0.0000,4.1955,0.0000,0.0320,0.0322
50.6874,46.4266,0.0000,4.2608,0.0000,0.0324,0.0318
50.6125,46.4060,0.0000,4.2065,0.0000,0.0341,0.0330
50.5581,46.3953,0.0000,4.1629,0.0000,0.0338,0.0328
50.4996,46.3832,0.0000,4.1164,0.0000,0.0367,0.0356
50.4629,46.3767,0.0000,4.0862,0.0000,0.0379,0.0366
50.4190,46.3693,0.0000,4.0498,0.0000,0.0387,0.0370
50.4066,46.3719,0.0000,4.0347,0.0000,0.0399,0.0377
50.3630,46.3699,0.0000,3.9931,0.0000,0.0432,0.0397
27.3749,23.2906,0.0000,4.0843,0.0000,0.0308,0.0319
19.2565,15.1789,0.0000,4.0776,0.0000,0.0320,0.0330
19.0922,15.0213,0.0000,4.0709,0.0000,0.0310,0.0322
19.0558,14.9803,0.0000,4.0755,0.0000,0.0299,0.0312
19.0309,14.9618,0.0000,4.0691,0.0000,0.0296,0.0310
19.0147,14.9496,0.0000,4.0651,0.0000,0.0302,0.0315
18.9918,14.9399,0.0000,4.0519,0.0000,0.0303,0.0316
18.9807,14.9343,0.0000,4.0464,0.0000,0.0305,0.0317
18.9736,14.9291,0.0000,4.0445,0.0000,0.0303,0.0316
18.9665,14.9244,0.0000,4.0422,0.0000,0.0318,0.0330
18.9601,14.9216,0.0000,4.0385,0.0000,0.0293,0.0307
18.9524,14.9190,0.0000,4.0335,0.0000,0.0317,0.0329
18.9472,14.9164,0.0000,4.0308,0.0000,0.0313,0.0326
18.9573,14.9150,0.0000,4.0423,0.0000,0.0314,0.0327
18.9375,14.9121,0.0000,4.0254,0.0000,0.0306,0.0320
