total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
801083.6176,46.4697,0.0000,801037.1479,0.0000,0.4865,0.4870
202246.1445,46.4385,0.0000,202199.7059,0.0000,0.5004,0.4997
10548.0853,46.2661,0.0000,10501.8193,0.0000,0.1070,0.1162
4620.8571,46.2653,0.0000,4574.5918,0.0000,0.0847,0.0802
2304.4251,46.2665,0.0000,2258.1587,0.0000,0.1195,0.1070
1094.4928,46.2693,0.0000,1048.2235,0.0000,0.6441,0.6282
958.6835,46.2699,0.0000,912.4137,0.0000,0.5211,0.5020
929.7818,46.2706,0.0000,883.5113,0.0000,0.0351,0.0343
924.7481,46.2682,0.0000,878.4799,0.0000,0.6977,0.6829
894.7600,46.2696,0.0000,848.4903,0.0000,0.5526,0.5312
883.7100,46.2741,0.0000,837.4358,0.0000,0.0356,0.0322
886.8698,46.2788,0.0000,840.5910,0.0000,0.7286,0.7078
860.1010,46.2792,0.0000,813.8218,0.0000,0.5863,0.5559
850.9241,46.2845,0.0000,804.6396,0.0000,0.0501,0.0473
858.1776,46.2884,0.0000,811.8893,0.0000,0.7552,0.7287
809.0342,23.6871,0.0000,785.3471,0.0000,0.6350,0.5876
785.2421,15.1825,0.0000,770.0596,0.0000,0.0723,0.0648
777.1840,15.0311,0.0000,762.1530,0.0000,0.8127,0.7647
732.9832,14.9801,0.0000,718.0031,0.0000,0.7212,0.6437
710.7434,14.9580,0.0000,695.7855,0.0000,0.1102,0.0894
707.2916,14.9449,0.0000,692.3467,0.0000,0.8556,0.7893
660.3474,14.9371,0.0000,645.4103,0.0000,0.7791,0.6851
637.7618,14.9318,0.0000,622.8300,0.0000,0.1632,0.1283
629.9050,14.9279,0.0000,614.9771,0.0000,0.8867,0.8073
591.8215,14.9266,0.0000,576.8950,0.0000,0.8172,0.7126
572.3716,14.9224,0.0000,557.4492,0.0000,0.2219,0.1739
562.0585,14.9217,0.0000,547.1368,0.0000,0.9076,0.8305
522.9081,14.9207,0.0000,507.9875,0.0000,0.8486,0.7376
499.7154,14.9187,0.0000,484.7967,0.0000,0.2939,0.2257
490.6609,14.9190,0.0000,475.7419,0.0000,0.9233,0.8363
