total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-3952.8700,46.1258,-3998.9958,0.0000,0.0000,0.4559,0.4482
-2289.3819,46.0996,-2335.4815,0.0000,0.0000,0.3898,0.3896
-1288.4557,46.0501,-1334.5058,0.0000,0.0000,0.5159,0.5205
-834.7838,45.9813,-880.7652,0.0000,0.0000,0.5038,0.5060
-687.9207,45.9413,-733.8620,0.0000,0.0000,0.5076,0.5104
-652.6936,45.9379,-698.6315,0.0000,0.0000,0.5066,0.5093
-647.6265,45.9417,-693.5681,0.0000,0.0000,0.5065,0.5089
-647.2256,45.9423,-693.1679,0.0000,0.0000,0.5027,0.5026
-647.2018,45.9461,-693.1479,0.0000,0.0000,0.5027,0.5026
-647.2048,45.9423,-693.1472,0.0000,0.0000,0.5027,0.5026
-647.2105,45.9367,-693.1471,0.0000,0.0000,0.5027,0.5026
-647.2030,45.9442,-693.1472,0.0000,0.0000,0.5027,0.5026
-647.2045,45.9426,-693.1471,0.0000,0.0000,0.5027,0.5026
-647.2020,45.9452,-693.1472,0.0000,0.0000,0.5039,0.4995
-647.2048,45.9423,-693.1472,0.0000,0.0000,0.5014,0.5035
-9407.1938,23.4119,-9430.6057,0.0000,0.0000,0.5000,0.5000
-10346.4364,15.1964,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.5998,15.0330,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.6550,14.9778,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.6827,14.9502,-10361.6329,0.0000,0.0000,0.5000,0.5000
-10346.6950,14.9378,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7017,14.9310,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7080,14.9248,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7116,14.9212,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7152,14.9176,-10361.6329,0.0000,0.0000,0.5000,0.5000
-10346.7165,14.9163,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7193,14.9135,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7216,14.9112,-10361.6328,0.0000,0.0000,0.5000,0.5000
-10346.7226,14.9103,-10361.6329,0.0000,0.0000,0.5000,0.5000
-10346.7243,14.9085,-10361.6328,0.0000,0.0000,0.5000,0.5000
