total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
42.4723,46.1645,-3.6922,0.0000,0.0000,0.4944,0.4967
43.7158,46.1259,-2.4101,0.0000,0.0000,0.4773,0.4776
44.6511,46.0938,-1.4426,0.0000,0.0000,0.0007,0.0008
45.1588,46.0632,-0.9044,0.0000,0.0000,0.9995,0.9993
45.3286,46.0547,-0.7261,0.0000,0.0000,0.0238,0.0209
45.3607,46.0568,-0.6960,0.0000,0.0000,0.8942,0.8903
45.3640,46.0573,-0.6933,0.0000,0.0000,0.0805,0.0760
45.3641,46.0573,-0.6932,0.0000,0.0000,0.9596,0.9594
45.3608,46.0539,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3608,46.0539,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3591,46.0522,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3622,46.0554,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3587,46.0518,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3627,46.0559,-0.6931,0.0000,0.0000,0.5000,0.5000
45.3608,46.0540,-0.6931,0.0000,0.0000,0.5000,0.5000
15.2513,23.4659,-8.2146,0.0000,0.0000,0.5000,0.5000
4.8158,15.1768,-10.3610,0.0000,0.0000,0.5000,0.5000
4.6632,15.0237,-10.3605,0.0000,0.0000,0.5000,0.5000
4.6141,14.9741,-10.3600,0.0000,0.0000,0.5000,0.5000
4.5922,14.9513,-10.3591,0.0000,0.0000,0.5000,0.5000
4.5808,14.9393,-10.3585,0.0000,0.0000,0.5000,0.5000
4.5731,14.9312,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5682,14.9264,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5649,14.9232,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5614,14.9195,-10.3581,0.0000,0.0000,0.5000,0.5000
4.5597,14.9179,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5573,14.9155,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5554,14.9136,-10.3581,0.0000,0.0000,0.5000,0.5000
4.5543,14.9125,-10.3582,0.0000,0.0000,0.5000,0.5000
4.5516,14.9098,-10.3582,0.0000,0.0000,0.5000,0.5000
