total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-349.5300,46.3386,-395.8687,0.0000,0.0000,0.4974,0.4977
-174.1542,46.3060,-220.4603,0.0000,0.0000,0.4962,0.4977
-80.6541,46.2547,-126.9088,0.0000,0.0000,0.4895,0.4914
-40.9471,46.2027,-87.1498,0.0000,0.0000,0.4480,0.4522
-27.0384,46.1766,-73.2150,0.0000,0.0000,0.1157,0.1152
-23.6249,46.1762,-69.8011,0.0000,0.0000,0.0000,0.0001
-23.1735,46.1782,-69.3517,0.0000,0.0000,0.0004,0.0011
-23.1358,46.1809,-69.3167,0.0000,0.0000,0.0364,0.0366
-23.1364,46.1784,-69.3148,0.0000,0.0000,0.9833,0.9827
-23.1371,46.1776,-69.3147,0.0000,0.0000,0.1276,0.1290
-23.1353,46.1794,-69.3147,0.0000,0.0000,0.5004,0.5007
-23.1328,46.1819,-69.3147,0.0000,0.0000,0.5000,0.5000
-23.1352,46.1795,-69.3147,0.0000,0.0000,0.5000,0.5000
-23.1341,46.1806,-69.3147,0.0000,0.0000,0.5000,0.5000
-23.1340,46.1807,-69.3147,0.0000,0.0000,0.5000,0.5000
-893.9991,23.8428,-917.8419,0.0000,0.0000,0.5000,0.5000
-1020.9833,15.1800,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.1454,15.0179,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.1935,14.9699,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.2131,14.9503,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.2238,14.9396,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.2307,14.9325,-1036.1633,0.0000,0.0000,0.5000,0.5000
-1021.2352,14.9281,-1036.1632,0.0000,0.0000,0.5000,0.5000
-1021.2381,14.9251,-1036.1632,0.0000,0.0000,0.5000,0.5000
-1021.2400,14.9233,-1036.1632,0.0000,0.0000,0.5000,0.5000
-1021.2441,14.9189,-1036.1630,0.0000,0.0000,0.5000,0.5000
-1021.2454,14.9176,-1036.1630,0.0000,0.0000,0.5000,0.5000
-1021.2465,14.9166,-1036.1631,0.0000,0.0000,0.5000,0.5000
-1021.2495,14.9136,-1036.1631,0.0000,0.0000,0.5000,0.5000
-1021.2507,14.9124,-1036.1631,0.0000,0.0000,0.5000,0.5000
