total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-4.7584,46.1428,-50.9013,0.0000,0.0000,0.5016,0.5008
15.2422,46.1241,-30.8819,0.0000,0.0000,0.5028,0.5023
29.6732,46.0769,-16.4037,0.0000,0.0000,0.5045,0.5025
36.1901,46.0186,-9.8285,0.0000,0.0000,0.5073,0.5046
38.4501,45.9658,-7.5157,0.0000,0.0000,0.5123,0.5112
38.9645,45.9493,-6.9848,0.0000,0.0000,0.5230,0.5229
39.0103,45.9443,-6.9340,0.0000,0.0000,0.5473,0.5450
39.0152,45.9468,-6.9316,0.0000,0.0000,0.6038,0.5992
39.0148,45.9463,-6.9315,0.0000,0.0000,0.7442,0.7426
39.0169,45.9484,-6.9315,0.0000,0.0000,1.0000,1.0000
39.0126,45.9441,-6.9315,0.0000,0.0000,1.0000,1.0000
39.0134,45.9448,-6.9315,0.0000,0.0000,1.0000,1.0000
39.0188,45.9503,-6.9315,0.0000,0.0000,1.0000,1.0000
39.0135,45.9450,-6.9315,0.0000,0.0000,1.0000,1.0000
39.0142,45.9457,-6.9315,0.0000,0.0000,1.0000,1.0000
-63.2759,23.6698,-86.9456,0.0000,0.0000,1.0000,1.0000
-88.4354,15.1809,-103.6162,0.0000,0.0000,1.0000,1.0000
-88.5925,15.0236,-103.6160,0.0000,0.0000,1.0000,1.0000
-88.6425,14.9734,-103.6159,0.0000,0.0000,1.0000,1.0000
-88.6652,14.9508,-103.6159,0.0000,0.0000,1.0000,1.0000
-88.6777,14.9382,-103.6159,0.0000,0.0000,0.9998,0.9997
-88.6847,14.9311,-103.6159,0.0000,0.0000,0.8516,0.8484
-88.6890,14.9268,-103.6158,0.0000,0.0000,0.5000,0.5000
-88.6929,14.9230,-103.6159,0.0000,0.0000,0.5000,0.5000
-88.6957,14.9201,-103.6158,0.0000,0.0000,0.5000,0.5000
-88.6991,14.9167,-103.6158,0.0000,0.0000,0.5000,0.5000
-88.6998,14.9160,-103.6158,0.0000,0.0000,0.5000,0.5000
-88.6997,14.9161,-103.6158,0.0000,0.0000,0.5000,0.5000
-88.7024,14.9132,-103.6156,0.0000,0.0000,0.5000,0.5000
-88.7033,14.9123,-103.6157,0.0000,0.0000,0.5000,0.5000
