total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-323.1620,46.3698,-402.6896,0.0000,33.1579,0.1818,0.1817
-175.5220,46.3411,-255.0210,0.0000,33.1579,0.6987,0.6946
-84.4089,46.3067,-163.8734,0.0000,33.1579,0.4825,0.4843
-22.7320,46.2617,-102.1516,0.0000,33.1579,0.5336,0.5343
4.1749,46.2174,-75.2004,0.0000,33.1579,0.5353,0.5360
9.5229,46.2070,-69.8420,0.0000,33.1579,0.5104,0.5135
10.0118,46.1995,-69.3456,0.0000,33.1579,0.5325,0.5322
10.0415,46.1997,-69.3161,0.0000,33.1579,0.5324,0.5322
10.0444,46.2013,-69.3148,0.0000,33.1579,0.5324,0.5322
10.0461,46.2030,-69.3147,0.0000,33.1579,0.5324,0.5322
10.0434,46.2003,-69.3147,0.0000,33.1579,0.5323,0.5319
10.0401,46.1969,-69.3147,0.0000,33.1579,0.5330,0.5314
10.0459,46.2028,-69.3147,0.0000,33.1579,0.5237,0.5148
10.0457,46.2025,-69.3147,0.0000,33.1579,0.4999,0.5007
10.0438,46.2007,-69.3147,0.0000,33.1579,0.5000,0.5000
-871.7413,23.4331,-921.3366,0.0000,26.1622,0.5000,0.5000
-1022.1309,14.9977,-1036.1633,0.0000,-0.9653,0.5000,0.5000
-1031.3366,14.9085,-1036.1633,0.0000,-10.0818,0.5000,0.5000
-1037.0476,14.9010,-1036.1633,0.0000,-15.7853,0.5000,0.5000
-1039.2546,14.9041,-1036.1633,0.0000,-17.9954,0.5000,0.5000
-1040.1991,14.9074,-1036.1633,0.0000,-18.9432,0.5000,0.5000
-1040.6855,14.9074,-1036.1633,0.0000,-19.4296,0.5000,0.5000
-1040.9641,14.9071,-1036.1633,0.0000,-19.7079,0.5000,0.5000
-1041.1332,14.9091,-1036.1633,0.0000,-19.8790,0.5000,0.5000
-1041.2439,14.9083,-1036.1625,0.0000,-19.9897,0.5000,0.5000
-1041.3198,14.9074,-1036.1632,0.0000,-20.0640,0.5000,0.5000
-1041.3678,14.9104,-1036.1632,0.0000,-20.1150,0.5000,0.5000
-1041.4058,14.9079,-1036.1630,0.0000,-20.1507,0.5000,0.5000
-1041.4334,14.9059,-1036.1632,0.0000,-20.1761,0.5000,0.5000
-1041.4506,14.9066,-1036.1629,0.0000,-20.1943,0.5000,0.5000
