total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-3247.1888,46.2717,-3625.0318,0.0000,331.5712,0.0067,0.0075
-1903.9955,46.2271,-2281.7938,0.0000,331.5712,0.1352,0.1344
-1081.7884,46.1894,-1459.5490,0.0000,331.5712,0.5485,0.5555
-604.0855,46.1503,-981.8070,0.0000,331.5712,0.5131,0.5232
-385.6271,46.1130,-763.3113,0.0000,331.5712,0.5159,0.5243
-325.0501,46.1063,-702.7276,0.0000,331.5712,0.5145,0.5193
-316.2087,46.1110,-693.8909,0.0000,331.5712,0.5108,0.5116
-315.5058,46.1082,-693.1852,0.0000,331.5712,0.5084,0.5087
-315.4682,46.1093,-693.1486,0.0000,331.5712,0.4950,0.4986
-315.4649,46.1111,-693.1472,0.0000,331.5712,0.5000,0.5000
-315.4627,46.1132,-693.1471,0.0000,331.5712,0.5000,0.5000
-315.4672,46.1087,-693.1472,0.0000,331.5712,0.5000,0.5000
-315.4656,46.1104,-693.1472,0.0000,331.5712,0.5000,0.5000
-315.4659,46.1100,-693.1471,0.0000,331.5712,0.5000,0.5000
-315.4633,46.1127,-693.1472,0.0000,331.5712,0.5000,0.5000
-9246.6666,22.8174,-9448.9387,0.0000,179.4548,0.5000,0.5000
-10403.9257,14.9424,-10361.6328,0.0000,-57.2353,0.5000,0.5000
-10489.5848,14.8912,-10361.6328,0.0000,-142.8432,0.5000,0.5000
-10525.7250,14.8976,-10361.6329,0.0000,-178.9897,0.5000,0.5000
-10538.9029,14.9028,-10361.6328,0.0000,-192.1730,0.5000,0.5000
-10544.6075,14.9078,-10361.6328,0.0000,-197.8825,0.5000,0.5000
-10547.5381,14.9119,-10361.6329,0.0000,-200.8172,0.5000,0.5000
-10549.2409,14.9123,-10361.6328,0.0000,-202.5203,0.5000,0.5000
-10550.3151,14.9149,-10361.6328,0.0000,-203.5972,0.5000,0.5000
-10551.0396,14.9153,-10361.6328,0.0000,-204.3220,0.5000,0.5000
-10551.5502,14.9162,-10361.6328,0.0000,-204.8336,0.5000,0.5000
-10551.9248,14.9163,-10361.6327,0.0000,-205.2084,0.5000,0.5000
-10552.2082,14.9158,-10361.6328,0.0000,-205.4912,0.5000,0.5000
-10552.4248,14.9177,-10361.6328,0.0000,-205.7098,0.5000,0.5000
-10552.5991,14.9158,-10361.6328,0.0000,-205.8821,0.5000,0.5000
