total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-330.1475,46.1645,-3692.1957,0.0000,3315.8837,0.4944,0.4967
951.9425,46.1259,-2410.0670,0.0000,3315.8837,0.4773,0.4776
1919.3589,46.0938,-1442.6186,0.0000,3315.8837,0.0007,0.0008
2457.5375,46.0632,-904.4094,0.0000,3315.8837,0.9995,0.9993
2635.8653,46.0547,-726.0730,0.0000,3315.8836,0.0238,0.0209
2665.9045,46.0568,-696.0359,0.0000,3315.8836,0.8942,0.8903
2668.6061,46.0573,-693.3348,0.0000,3315.8837,0.0805,0.0760
2668.7842,46.0573,-693.1567,0.0000,3315.8837,0.9596,0.9594
2668.7901,46.0539,-693.1475,0.0000,3315.8836,0.5000,0.5000
2668.7905,46.0539,-693.1472,0.0000,3315.8837,0.5000,0.5000
2668.7887,46.0522,-693.1472,0.0000,3315.8837,0.5000,0.5000
2668.7919,46.0554,-693.1471,0.0000,3315.8837,0.5000,0.5000
2668.7883,46.0518,-693.1471,0.0000,3315.8836,0.5000,0.5000
2668.7924,46.0559,-693.1472,0.0000,3315.8837,0.5000,0.5000
2668.7905,46.0540,-693.1472,0.0000,3315.8836,0.5000,0.5000
-7664.7981,22.8459,-9465.2927,0.0000,1777.6487,0.5000,0.5000
-10951.2809,14.9383,-10361.6328,0.0000,-604.5864,0.5000,0.5000
-11798.3571,14.8914,-10361.6328,0.0000,-1451.6157,0.5000,0.5000
-12148.0327,14.8984,-10361.6328,0.0000,-1801.2983,0.5000,0.5000
-12275.4555,14.9037,-10361.6328,0.0000,-1928.7264,0.5000,0.5000
-12330.7080,14.9108,-10361.6328,0.0000,-1983.9861,0.5000,0.5000
-12359.1344,14.9117,-10361.6328,0.0000,-2012.4133,0.5000,0.5000
-12375.6474,14.9120,-10361.6328,0.0000,-2028.9265,0.5000,0.5000
-12386.0960,14.9157,-10361.6328,0.0000,-2039.3789,0.5000,0.5000
-12393.1424,14.9151,-10361.6328,0.0000,-2046.4248,0.5000,0.5000
-12398.1225,14.9172,-10361.6328,0.0000,-2051.4069,0.5000,0.5000
-12401.7803,14.9169,-10361.6329,0.0000,-2055.0644,0.5000,0.5000
-12404.5476,14.9167,-10361.6328,0.0000,-2057.8315,0.5000,0.5000
-12406.6912,14.9190,-10361.6328,0.0000,-2059.9774,0.5000,0.5000
-12408.3889,14.9202,-10361.6328,0.0000,-2061.6763,0.5000,0.5000
