total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-3994.5999,46.2495,-4074.0071,0.0000,33.1577,0.5113,0.5109
-2032.7180,46.1936,-2112.0693,0.0000,33.1577,0.4999,0.4991
-1137.6769,46.1408,-1216.9754,0.0000,33.1577,0.5006,0.4969
-764.6662,46.0858,-843.9097,0.0000,33.1577,0.4945,0.5005
-640.9672,46.0401,-720.1650,0.0000,33.1577,0.5266,0.5291
-616.4495,46.0185,-695.6257,0.0000,33.1577,0.5261,0.5285
-614.0973,46.0136,-693.2685,0.0000,33.1577,0.5256,0.5281
-613.9777,46.0156,-693.1510,0.0000,33.1577,0.5251,0.5277
-613.9725,46.0171,-693.1472,0.0000,33.1577,0.5249,0.5274
-613.9755,46.0140,-693.1472,0.0000,33.1577,0.5248,0.5273
-613.9751,46.0144,-693.1471,0.0000,33.1577,0.5249,0.5274
-613.9743,46.0152,-693.1472,0.0000,33.1577,0.5247,0.5272
-613.9747,46.0148,-693.1472,0.0000,33.1577,0.5247,0.5270
-613.9701,46.0194,-693.1472,0.0000,33.1577,0.5243,0.5269
-613.9763,46.0132,-693.1471,0.0000,33.1577,0.5215,0.5202
-9420.7569,22.9673,-9468.2980,0.0000,24.5737,0.4996,0.4981
-10348.1467,15.0002,-10361.6328,0.0000,-1.5141,0.5000,0.5000
-10357.1672,14.9095,-10361.6329,0.0000,-10.4439,0.5000,0.5000
-10362.5047,14.9018,-10361.6328,0.0000,-15.7737,0.5000,0.5000
-10364.6771,14.9051,-10361.6328,0.0000,-17.9494,0.5000,0.5000
-10365.6359,14.9055,-10361.6328,0.0000,-18.9086,0.5000,0.5000
-10366.1329,14.9066,-10361.6329,0.0000,-19.4066,0.5000,0.5000
-10366.4171,14.9081,-10361.6328,0.0000,-19.6924,0.5000,0.5000
-10366.5918,14.9091,-10361.6328,0.0000,-19.8681,0.5000,0.5000
-10366.7057,14.9090,-10361.6329,0.0000,-19.9818,0.5000,0.5000
-10366.7835,14.9074,-10361.6328,0.0000,-20.0582,0.5000,0.5000
-10366.8366,14.9070,-10361.6328,0.0000,-20.1108,0.5000,0.5000
-10366.8728,14.9078,-10361.6328,0.0000,-20.1477,0.5000,0.5000
-10366.9002,14.9065,-10361.6328,0.0000,-20.1739,0.5000,0.5000
-10366.9197,14.9059,-10361.6328,0.0000,-20.1928,0.5000,0.5000
