total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
28965.7601,46.0676,-4238.1052,0.0000,33157.7978,0.5410,0.5388
30641.6798,46.0406,-2562.1589,0.0000,33157.7981,0.4447,0.4447
31577.1960,46.0327,-1626.6346,0.0000,33157.7979,0.4656,0.4632
32120.3647,45.9979,-1083.4309,0.0000,33157.7976,0.4728,0.4707
32422.3371,45.9228,-781.3838,0.0000,33157.7981,0.4743,0.4722
32501.8876,45.8764,-701.7871,0.0000,33157.7983,0.4748,0.4727
32510.0441,45.8635,-693.6171,0.0000,33157.7978,0.4750,0.4729
32510.4924,45.8605,-693.1658,0.0000,33157.7976,0.4751,0.4731
32510.5053,45.8554,-693.1477,0.0000,33157.7976,0.4753,0.4729
32510.5091,45.8583,-693.1472,0.0000,33157.7980,0.4753,0.4729
32510.5085,45.8574,-693.1472,0.0000,33157.7982,0.4755,0.4730
32510.5114,45.8604,-693.1472,0.0000,33157.7982,0.4767,0.4739
32510.5105,45.8596,-693.1472,0.0000,33157.7981,0.5043,0.5048
32510.5086,45.8575,-693.1472,0.0000,33157.7983,0.5000,0.5000
32510.5068,45.8560,-693.1472,0.0000,33157.7980,0.5000,0.5000
8784.6337,23.2434,-9477.7659,0.0000,18239.1562,0.5000,0.5000
-16385.6169,14.9403,-10361.6327,0.0000,-6038.9244,0.5000,0.5000
-24941.9702,14.8928,-10361.6327,0.0000,-14595.2303,0.5000,0.5000
-28409.2008,14.8990,-10361.6328,0.0000,-18062.4670,0.5000,0.5000
-29659.8523,14.9082,-10361.6329,0.0000,-19313.1277,0.5000,0.5000
-30201.9618,14.9093,-10361.6328,0.0000,-19855.2383,0.5000,0.5000
-30481.3029,14.9116,-10361.6328,0.0000,-20134.5817,0.5000,0.5000
-30643.8250,14.9124,-10361.6328,0.0000,-20297.1046,0.5000,0.5000
-30746.8209,14.9147,-10361.6328,0.0000,-20400.1028,0.5000,0.5000
-30816.3138,14.9154,-10361.6328,0.0000,-20469.5964,0.5000,0.5000
-30865.4902,14.9139,-10361.6329,0.0000,-20518.7712,0.5000,0.5000
-30901.6054,14.9194,-10361.6328,0.0000,-20554.8920,0.5000,0.5000
-30928.9424,14.9226,-10361.6327,0.0000,-20582.2323,0.5000,0.5000
-30950.1574,14.9187,-10361.6328,0.0000,-20603.4433,0.5000,0.5000
-30966.9562,14.9178,-10361.6328,0.0000,-20620.2412,0.5000,0.5000
