total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33171.7230,46.2683,-33.9813,0.0000,33159.4360,0.4911,0.4931
33185.4376,46.2843,-20.2827,0.0000,33159.4359,0.4859,0.4858
33192.4887,46.2623,-13.2097,0.0000,33159.4361,0.4716,0.4723
33196.4815,46.2139,-9.1680,0.0000,33159.4357,0.4211,0.4268
33198.1969,46.1623,-7.4016,0.0000,33159.4361,0.1643,0.1694
33198.5935,46.1378,-6.9802,0.0000,33159.4359,0.0217,0.0241
33198.6247,46.1229,-6.9342,0.0000,33159.4360,0.1575,0.1619
33198.6283,46.1236,-6.9316,0.0000,33159.4363,0.4423,0.4447
33198.6250,46.1205,-6.9315,0.0000,33159.4360,0.4987,0.5020
33198.6252,46.1209,-6.9315,0.0000,33159.4359,0.4855,0.4869
33198.6270,46.1225,-6.9315,0.0000,33159.4360,0.4778,0.4775
33198.6293,46.1250,-6.9315,0.0000,33159.4357,0.4748,0.4731
33198.6286,46.1242,-6.9315,0.0000,33159.4359,0.4736,0.4714
33198.6273,46.1229,-6.9315,0.0000,33159.4358,0.4815,0.4792
33198.6311,46.1267,-6.9315,0.0000,33159.4359,0.5062,0.5011
18388.6923,23.4518,-89.1994,0.0000,18454.4399,0.5000,0.5000
-6082.7564,14.9388,-103.6163,0.0000,-5994.0789,0.5000,0.5000
-14762.0200,14.8928,-103.6161,0.0000,-14673.2967,0.5000,0.5000
-18193.1300,14.8991,-103.6160,0.0000,-18104.4131,0.5000,0.5000
-19422.8476,14.9038,-103.6160,0.0000,-19334.1355,0.5000,0.5000
-19956.3452,14.9130,-103.6160,0.0000,-19867.6422,0.5000,0.5000
-20231.4738,14.9100,-103.6160,0.0000,-20142.7678,0.5000,0.5000
-20391.6171,14.9131,-103.6159,0.0000,-20302.9142,0.5324,0.5322
-20493.1392,14.9164,-103.6160,0.0000,-20404.4397,0.5324,0.5318
-20561.6579,14.9151,-103.6159,0.0000,-20472.9571,0.4684,0.4706
-20610.1522,14.9150,-103.6159,0.0000,-20521.4513,0.4993,0.4987
-20645.7771,14.9172,-103.6159,0.0000,-20557.0784,0.5000,0.5000
-20672.7455,14.9189,-103.6159,0.0000,-20584.0486,0.5000,0.5000
-20693.6725,14.9184,-103.6159,0.0000,-20604.9751,0.5000,0.5000
-20710.2465,14.9184,-103.6158,0.0000,-20621.5491,0.5000,0.5000
