total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3357.7337,46.3834,-4.3953,0.0000,3315.7456,0.5087,0.5071
3359.3273,46.4050,-2.8233,0.0000,3315.7456,0.5203,0.5203
3360.3940,46.3741,-1.7257,0.0000,3315.7456,0.5724,0.5689
3360.9837,46.3088,-1.0707,0.0000,3315.7456,0.8847,0.8841
3361.1888,46.2161,-0.7729,0.0000,3315.7456,0.9663,0.9649
3361.2087,46.1646,-0.7015,0.0000,3315.7456,0.8380,0.8288
3361.2032,46.1513,-0.6936,0.0000,3315.7456,0.5151,0.5050
3361.2039,46.1515,-0.6932,0.0000,3315.7456,0.3959,0.3857
3361.2031,46.1507,-0.6931,0.0000,3315.7456,0.4069,0.3968
3361.2033,46.1509,-0.6931,0.0000,3315.7456,0.4110,0.4007
3361.2035,46.1511,-0.6931,0.0000,3315.7456,0.4095,0.3993
3361.2035,46.1510,-0.6931,0.0000,3315.7456,0.4111,0.3997
3361.2046,46.1522,-0.6931,0.0000,3315.7456,0.4364,0.4290
3361.2044,46.1520,-0.6931,0.0000,3315.7456,0.5000,0.5000
3361.2046,46.1522,-0.6931,0.0000,3315.7456,0.5000,0.5000
1856.5055,23.8056,-8.3009,0.0000,1841.0007,0.5000,0.5000
-592.1710,14.9351,-10.3609,0.0000,-596.7453,0.5000,0.5000
-1464.2842,14.8918,-10.3605,0.0000,-1468.8155,0.5000,0.5000
-1805.5830,14.8983,-10.3599,0.0000,-1810.1214,0.5000,0.5000
-1928.2154,14.9053,-10.3591,0.0000,-1932.7616,0.5000,0.5000
-1981.6070,14.9079,-10.3586,0.0000,-1986.1563,0.5000,0.5000
-2009.1964,14.9114,-10.3583,0.0000,-2013.7495,0.5000,0.5000
-2025.2730,14.9146,-10.3582,0.0000,-2029.8294,0.5000,0.5000
-2035.4727,14.9154,-10.3581,0.0000,-2040.0299,0.5000,0.5000
-2042.3593,14.9156,-10.3582,0.0000,-2046.9167,0.5000,0.5000
-2047.2351,14.9149,-10.3582,0.0000,-2051.7919,0.5000,0.5000
-2050.8166,14.9157,-10.3583,0.0000,-2055.3740,0.5000,0.5000
-2053.5270,14.9171,-10.3582,0.0000,-2058.0859,0.5000,0.5000
-2055.6315,14.9170,-10.3583,0.0000,-2060.1902,0.5000,0.5000
-2057.2971,14.9180,-10.3583,0.0000,-2061.8568,0.5000,0.5000
