total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
39.6553,45.7969,-39.2996,0.0000,33.1580,0.5013,0.5005
56.1451,45.7695,-22.7823,0.0000,33.1580,0.5024,0.5023
65.1467,45.7286,-13.7399,0.0000,33.1580,0.5040,0.5023
69.5088,45.6830,-9.3322,0.0000,33.1580,0.5064,0.5038
71.3467,45.6347,-7.4460,0.0000,33.1580,0.5105,0.5086
71.7967,45.6244,-6.9856,0.0000,33.1580,0.5186,0.5188
71.8428,45.6196,-6.9348,0.0000,33.1580,0.5366,0.5336
71.8464,45.6200,-6.9316,0.0000,33.1580,0.5763,0.5694
71.8445,45.6180,-6.9315,0.0000,33.1580,0.6671,0.6717
71.8451,45.6186,-6.9315,0.0000,33.1580,0.9004,0.9018
71.8467,45.6202,-6.9315,0.0000,33.1580,1.0000,1.0000
71.8442,45.6176,-6.9315,0.0000,33.1580,1.0000,1.0000
71.8444,45.6178,-6.9315,0.0000,33.1580,1.0000,1.0000
71.8482,45.6217,-6.9315,0.0000,33.1580,1.0000,1.0000
71.8454,45.6189,-6.9315,0.0000,33.1580,1.0000,1.0000
-36.0221,22.8986,-87.1811,0.0000,28.2604,1.0000,1.0000
-88.2976,15.0083,-103.6162,0.0000,0.3103,1.0000,1.0000
-97.2271,14.9165,-103.6160,0.0000,-8.5276,1.0000,1.0000
-103.0981,14.9053,-103.6160,0.0000,-14.3875,1.0000,1.0000
-105.9788,14.9047,-103.6160,0.0000,-17.2676,1.0000,1.0000
-107.4239,14.9051,-103.6160,0.0000,-18.7131,1.0000,1.0000
-108.1156,14.9087,-103.6160,0.0000,-19.4083,0.9990,0.9988
-108.4204,14.9111,-103.6159,0.0000,-19.7156,0.8390,0.8417
-108.5965,14.9101,-103.6159,0.0000,-19.8907,0.5000,0.5000
-108.7104,14.9066,-103.6159,0.0000,-20.0011,0.5000,0.5000
-108.7792,14.9109,-103.6159,0.0000,-20.0743,0.5000,0.5000
-108.8293,14.9103,-103.6158,0.0000,-20.1238,0.5000,0.5000
-108.8671,14.9071,-103.6158,0.0000,-20.1584,0.5000,0.5000
-108.8940,14.9046,-103.6158,0.0000,-20.1828,0.5000,0.5000
-108.9094,14.9065,-103.6157,0.0000,-20.2002,0.5000,0.5000
