total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3323.5638,46.5732,-38.8301,0.0000,3315.8207,0.5138,0.5122
3339.6271,46.5346,-22.7281,0.0000,3315.8207,0.5301,0.5280
3349.0922,46.4934,-13.2219,0.0000,3315.8207,0.5986,0.5941
3353.4553,46.4487,-8.8141,0.0000,3315.8207,0.9877,0.9847
3354.9857,46.4387,-7.2737,0.0000,3315.8207,0.9906,0.9886
3355.2883,46.4384,-6.9708,0.0000,3315.8207,0.8044,0.8096
3355.3286,46.4440,-6.9361,0.0000,3315.8207,0.5491,0.5521
3355.3363,46.4477,-6.9322,0.0000,3315.8207,0.5180,0.5199
3355.3370,46.4479,-6.9316,0.0000,3315.8207,0.5201,0.5221
3355.3409,46.4517,-6.9315,0.0000,3315.8207,0.5298,0.5324
3355.3384,46.4492,-6.9315,0.0000,3315.8207,0.5247,0.5271
3355.3416,46.4523,-6.9315,0.0000,3315.8207,0.5247,0.5271
3355.3404,46.4512,-6.9315,0.0000,3315.8207,0.5247,0.5270
3355.3373,46.4480,-6.9315,0.0000,3315.8207,0.5247,0.5270
3355.3416,46.4523,-6.9315,0.0000,3315.8207,0.5250,0.5278
1769.9090,23.3921,-87.7202,0.0000,1834.2372,0.5208,0.5252
-688.3092,14.9362,-103.6162,0.0000,-599.6292,0.4933,0.4993
-1551.4921,14.8905,-103.6161,0.0000,-1462.7665,0.5000,0.5000
-1895.8057,14.8987,-103.6160,0.0000,-1807.0883,0.5000,0.5000
-2020.1236,14.9050,-103.6160,0.0000,-1931.4127,0.5000,0.5000
-2074.1593,14.9078,-103.6160,0.0000,-1985.4510,0.5000,0.5000
-2102.0308,14.9109,-103.6160,0.0000,-2013.3257,0.5000,0.5000
-2118.2521,14.9124,-103.6159,0.0000,-2029.5486,0.5000,0.5000
-2128.5314,14.9152,-103.6160,0.0000,-2039.8306,0.5000,0.5000
-2135.4678,14.9160,-103.6159,0.0000,-2046.7679,0.5000,0.5000
-2140.3783,14.9142,-103.6159,0.0000,-2051.6767,0.5000,0.5000
-2143.9801,14.9179,-103.6159,0.0000,-2055.2821,0.5000,0.5000
-2146.7081,14.9187,-103.6159,0.0000,-2058.0109,0.5000,0.5000
-2148.8233,14.9203,-103.6158,0.0000,-2060.1278,0.5000,0.5000
-2150.5016,14.9183,-103.6158,0.0000,-2061.8041,0.5000,0.5000
