total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
74.9745,46.3868,-4.5695,0.0000,33.1573,0.4062,0.4142
76.7701,46.3801,-2.7674,0.0000,33.1573,0.0660,0.0693
77.9796,46.3210,-1.4987,0.0000,33.1573,0.4043,0.4037
78.4839,46.2155,-0.8888,0.0000,33.1573,0.4916,0.4960
78.5865,46.1468,-0.7176,0.0000,33.1573,0.4917,0.4958
78.5926,46.1299,-0.6946,0.0000,33.1573,0.4874,0.4910
78.5885,46.1244,-0.6932,0.0000,33.1573,0.4874,0.4896
78.5923,46.1282,-0.6931,0.0000,33.1573,0.4879,0.4884
78.5944,46.1303,-0.6931,0.0000,33.1573,0.4875,0.4861
78.5948,46.1307,-0.6931,0.0000,33.1573,0.4844,0.4854
78.5922,46.1281,-0.6931,0.0000,33.1573,0.4807,0.4826
78.5919,46.1278,-0.6931,0.0000,33.1573,0.4856,0.4882
78.5923,46.1282,-0.6931,0.0000,33.1573,0.5000,0.5000
78.5967,46.1325,-0.6931,0.0000,33.1573,0.5000,0.5000
78.5893,46.1252,-0.6931,0.0000,33.1573,0.5000,0.5000
42.2924,23.1364,-8.3985,0.0000,27.5544,0.5000,0.5000
4.9100,14.9960,-10.3608,0.0000,0.2747,0.5000,0.5000
-3.7941,14.9088,-10.3603,0.0000,-8.3426,0.5000,0.5000
-10.2420,14.9014,-10.3595,0.0000,-14.7839,0.5000,0.5000
-13.0516,14.9043,-10.3587,0.0000,-17.5971,0.5000,0.5000
-14.1340,14.9067,-10.3583,0.0000,-18.6824,0.5000,0.5000
-14.8470,14.9064,-10.3581,0.0000,-19.3953,0.5000,0.5000
-15.1795,14.9062,-10.3581,0.0000,-19.7276,0.5000,0.5000
-15.3486,14.9088,-10.3582,0.0000,-19.8992,0.5000,0.5000
-15.4555,14.9096,-10.3582,0.0000,-20.0069,0.5000,0.5000
-15.5283,14.9082,-10.3583,0.0000,-20.0782,0.5000,0.5000
-15.5780,14.9072,-10.3583,0.0000,-20.1269,0.5000,0.5000
-15.6103,14.9086,-10.3583,0.0000,-20.1606,0.5000,0.5000
-15.6352,14.9072,-10.3582,0.0000,-20.1842,0.5000,0.5000
-15.6541,14.9052,-10.3582,0.0000,-20.2011,0.5000,0.5000
