total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
326.8203,46.1428,-50.9013,0.0000,331.5787,0.5016,0.5008
346.8209,46.1241,-30.8819,0.0000,331.5787,0.5028,0.5023
361.2519,46.0769,-16.4037,0.0000,331.5787,0.5045,0.5025
367.7688,46.0186,-9.8285,0.0000,331.5787,0.5073,0.5046
370.0288,45.9658,-7.5157,0.0000,331.5787,0.5123,0.5112
370.5432,45.9493,-6.9848,0.0000,331.5787,0.5230,0.5229
370.5891,45.9443,-6.9340,0.0000,331.5787,0.5473,0.5450
370.5940,45.9468,-6.9316,0.0000,331.5787,0.6038,0.5992
370.5935,45.9463,-6.9315,0.0000,331.5787,0.7442,0.7426
370.5956,45.9484,-6.9315,0.0000,331.5787,1.0000,1.0000
370.5914,45.9441,-6.9315,0.0000,331.5787,1.0000,1.0000
370.5921,45.9448,-6.9315,0.0000,331.5787,1.0000,1.0000
370.5976,45.9503,-6.9315,0.0000,331.5787,1.0000,1.0000
370.5922,45.9450,-6.9315,0.0000,331.5787,1.0000,1.0000
370.5930,45.9457,-6.9315,0.0000,331.5787,1.0000,1.0000
114.7455,23.2846,-87.0730,0.0000,178.5339,1.0000,1.0000
-146.7242,14.9402,-103.6163,0.0000,-58.0481,1.0000,1.0000
-231.7831,14.8906,-103.6160,0.0000,-143.0577,1.0000,1.0000
-267.7499,14.8963,-103.6159,0.0000,-179.0303,1.0000,1.0000
-280.9018,14.9051,-103.6159,0.0000,-192.1910,1.0000,1.0000
-286.6007,14.9097,-103.6159,0.0000,-197.8945,0.9998,0.9997
-289.5321,14.9098,-103.6159,0.0000,-200.8260,0.8516,0.8484
-291.2305,14.9124,-103.6159,0.0000,-202.5270,0.5000,0.5000
-292.3062,14.9121,-103.6159,0.0000,-203.6024,0.5000,0.5000
-293.0249,14.9171,-103.6159,0.0000,-204.3262,0.5000,0.5000
-293.5397,14.9132,-103.6159,0.0000,-204.8370,0.5000,0.5000
-293.9101,14.9170,-103.6159,0.0000,-205.2112,0.5000,0.5000
-294.1933,14.9159,-103.6157,0.0000,-205.4935,0.5000,0.5000
-294.4102,14.9173,-103.6157,0.0000,-205.7118,0.5000,0.5000
-294.5841,14.9153,-103.6157,0.0000,-205.8838,0.5000,0.5000
