total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
2966.1568,46.3386,-395.8687,0.0000,3315.6868,0.4974,0.4977
3141.5325,46.3060,-220.4603,0.0000,3315.6868,0.4962,0.4977
3235.0326,46.2547,-126.9088,0.0000,3315.6868,0.4895,0.4914
3274.7397,46.2027,-87.1498,0.0000,3315.6868,0.4480,0.4522
3288.6484,46.1766,-73.2150,0.0000,3315.6868,0.1157,0.1152
3292.0619,46.1762,-69.8011,0.0000,3315.6868,0.0000,0.0001
3292.5133,46.1782,-69.3517,0.0000,3315.6867,0.0004,0.0011
3292.5511,46.1809,-69.3167,0.0000,3315.6868,0.0364,0.0366
3292.5504,46.1784,-69.3148,0.0000,3315.6868,0.9833,0.9827
3292.5497,46.1776,-69.3147,0.0000,3315.6868,0.1276,0.1290
3292.5515,46.1794,-69.3147,0.0000,3315.6868,0.5004,0.5007
3292.5540,46.1819,-69.3147,0.0000,3315.6868,0.5000,0.5000
3292.5516,46.1795,-69.3147,0.0000,3315.6868,0.5000,0.5000
3292.5527,46.1806,-69.3147,0.0000,3315.6868,0.5000,0.5000
3292.5528,46.1807,-69.3147,0.0000,3315.6869,0.5000,0.5000
887.8132,23.0641,-917.9780,0.0000,1782.7271,0.5000,0.5000
-1625.4020,14.9353,-1036.1633,0.0000,-604.1739,0.5000,0.5000
-2480.1694,14.8900,-1036.1633,0.0000,-1458.8961,0.5000,0.5000
-2826.4108,14.8983,-1036.1633,0.0000,-1805.1457,0.5000,0.5000
-2951.6718,14.9027,-1036.1633,0.0000,-1930.4112,0.5000,0.5000
-3006.0836,14.9094,-1036.1633,0.0000,-1984.8297,0.5000,0.5000
-3034.1519,14.9099,-1036.1633,0.0000,-2012.8986,0.5000,0.5000
-3050.4863,14.9131,-1036.1633,0.0000,-2029.2362,0.5000,0.5000
-3060.8375,14.9174,-1036.1632,0.0000,-2039.5918,0.5000,0.5000
-3067.8256,14.9168,-1036.1630,0.0000,-2046.5794,0.5000,0.5000
-3072.7716,14.9154,-1036.1629,0.0000,-2051.5241,0.5000,0.5000
-3076.4017,14.9176,-1036.1631,0.0000,-2055.1562,0.5000,0.5000
-3079.1514,14.9170,-1036.1631,0.0000,-2057.9053,0.5000,0.5000
-3081.2826,14.9185,-1036.1631,0.0000,-2060.0380,0.5000,0.5000
-3082.9708,14.9192,-1036.1631,0.0000,-2061.7269,0.5000,0.5000
