total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
32797.5092,46.1730,-406.5621,0.0000,33157.8983,0.5024,0.5015
32975.6638,46.1631,-228.3975,0.0000,33157.8982,0.5042,0.5025
33068.7557,46.1009,-135.2434,0.0000,33157.8983,0.5062,0.5038
33115.1224,46.0066,-88.7824,0.0000,33157.8981,0.5102,0.5076
33130.7409,45.9522,-73.1096,0.0000,33157.8983,0.5189,0.5191
33134.0605,45.9465,-69.7841,0.0000,33157.8981,0.5407,0.5374
33134.4971,45.9550,-69.3558,0.0000,33157.8979,0.5948,0.5898
33134.5337,45.9531,-69.3176,0.0000,33157.8981,0.7405,0.7388
33134.5386,45.9551,-69.3149,0.0000,33157.8983,1.0000,1.0000
33134.5361,45.9527,-69.3147,0.0000,33157.8981,1.0000,1.0000
33134.5332,45.9499,-69.3147,0.0000,33157.8980,1.0000,1.0000
33134.5372,45.9537,-69.3147,0.0000,33157.8982,1.0000,1.0000
33134.5380,45.9543,-69.3147,0.0000,33157.8984,1.0000,1.0000
33134.5349,45.9513,-69.3147,0.0000,33157.8983,0.9999,0.9999
33134.5355,45.9521,-69.3147,0.0000,33157.8981,0.9997,0.9996
17226.9068,23.2914,-921.6569,0.0000,18125.2723,0.9984,0.9984
-7019.2552,14.9395,-1036.1633,0.0000,-5998.0314,0.9919,0.9919
-15650.9746,14.8918,-1036.1633,0.0000,-14629.7030,0.9503,0.9503
-19112.6121,14.8972,-1036.1633,0.0000,-18091.3460,0.7817,0.7909
-20352.3138,14.9058,-1036.1633,0.0000,-19331.0562,0.5878,0.5969
-20888.0946,14.9096,-1036.1633,0.0000,-19866.8409,0.5130,0.5164
-21163.8292,14.9120,-1036.1633,0.0000,-20142.5779,0.5043,0.5036
-21324.1616,14.9132,-1036.1633,0.0000,-20302.9115,0.5000,0.5000
-21425.7449,14.9147,-1036.1632,0.0000,-20404.4964,0.5000,0.5000
-21494.2783,14.9149,-1036.1632,0.0000,-20473.0300,0.5000,0.5000
-21542.7700,14.9170,-1036.1631,0.0000,-20521.5239,0.5000,0.5000
-21578.3903,14.9183,-1036.1631,0.0000,-20557.1455,0.5000,0.5000
-21605.3536,14.9186,-1036.1631,0.0000,-20584.1091,0.5000,0.5000
-21626.2740,14.9178,-1036.1630,0.0000,-20605.0288,0.5000,0.5000
-21642.8393,14.9202,-1036.1630,0.0000,-20621.5965,0.5000,0.5000
