total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33201.7978,46.2506,-3.9607,0.0000,33159.5078,0.4959,0.4962
33203.4479,46.2296,-2.2896,0.0000,33159.5079,0.4822,0.4814
33204.3550,46.1926,-1.3452,0.0000,33159.5076,0.1777,0.1775
33204.7712,46.1206,-0.8573,0.0000,33159.5079,0.9598,0.9612
33204.8572,46.0632,-0.7139,0.0000,33159.5078,0.7725,0.7905
33204.8657,46.0526,-0.6946,0.0000,33159.5076,0.0496,0.0467
33204.8594,46.0448,-0.6932,0.0000,33159.5079,0.9364,0.9373
33204.8637,46.0492,-0.6931,0.0000,33159.5077,0.7107,0.7184
33204.8634,46.0488,-0.6931,0.0000,33159.5077,0.5000,0.5000
33204.8641,46.0495,-0.6931,0.0000,33159.5078,0.5000,0.5000
33204.8621,46.0474,-0.6931,0.0000,33159.5078,0.5000,0.5000
33204.8623,46.0475,-0.6931,0.0000,33159.5079,0.5000,0.5000
33204.8592,46.0446,-0.6931,0.0000,33159.5078,0.5000,0.5000
33204.8647,46.0501,-0.6931,0.0000,33159.5078,0.5000,0.5000
33204.8626,46.0480,-0.6931,0.0000,33159.5078,0.5000,0.5000
18378.2340,24.4401,-7.7783,0.0000,18361.5722,0.5000,0.5000
-6006.5025,14.9399,-10.3611,0.0000,-6011.0813,0.5000,0.5000
-14676.4685,14.8888,-10.3607,0.0000,-14680.9965,0.5000,0.5000
-18098.7442,14.8943,-10.3603,0.0000,-18103.2783,0.5000,0.5000
-19327.3698,14.9032,-10.3597,0.0000,-19331.9133,0.5000,0.5000
-19861.0985,14.9083,-10.3591,0.0000,-19865.6478,0.5000,0.5000
-20136.6233,14.9103,-10.3585,0.0000,-20141.1750,0.5000,0.5000
-20297.1070,14.9126,-10.3583,0.0000,-20301.6612,0.5000,0.5000
-20398.8866,14.9164,-10.3582,0.0000,-20403.4447,0.5000,0.5000
-20467.5951,14.9180,-10.3582,0.0000,-20472.1549,0.5000,0.5000
-20516.2350,14.9172,-10.3582,0.0000,-20520.7940,0.5000,0.5000
-20551.9716,14.9177,-10.3582,0.0000,-20556.5311,0.5000,0.5000
-20579.0288,14.9171,-10.3582,0.0000,-20583.5878,0.5000,0.5000
-20600.0213,14.9189,-10.3582,0.0000,-20604.5821,0.5000,0.5000
-20616.6514,14.9177,-10.3581,0.0000,-20621.2110,0.5000,0.5000
