total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
373.7134,46.1258,-3.9990,0.0000,331.5867,0.4559,0.4482
375.3508,46.0996,-2.3355,0.0000,331.5866,0.3898,0.3896
376.3022,46.0501,-1.3345,0.0000,331.5867,0.5159,0.5205
376.6872,45.9813,-0.8808,0.0000,331.5867,0.5038,0.5060
376.7941,45.9413,-0.7339,0.0000,331.5867,0.5076,0.5104
376.8259,45.9379,-0.6986,0.0000,331.5867,0.5066,0.5093
376.8347,45.9417,-0.6936,0.0000,331.5866,0.5065,0.5089
376.8357,45.9423,-0.6932,0.0000,331.5867,0.5027,0.5026
376.8396,45.9461,-0.6931,0.0000,331.5866,0.5027,0.5026
376.8358,45.9423,-0.6931,0.0000,331.5866,0.5027,0.5026
376.8302,45.9367,-0.6931,0.0000,331.5866,0.5027,0.5026
376.8377,45.9442,-0.6931,0.0000,331.5867,0.5027,0.5026
376.8361,45.9426,-0.6931,0.0000,331.5866,0.5027,0.5026
376.8387,45.9452,-0.6931,0.0000,331.5867,0.5039,0.4995
376.8358,45.9423,-0.6931,0.0000,331.5867,0.5014,0.5035
197.6567,24.1713,-7.7870,0.0000,181.2724,0.5000,0.5000
-54.1649,14.9388,-10.3610,0.0000,-58.7427,0.5000,0.5000
-139.2488,14.8893,-10.3607,0.0000,-143.7774,0.5000,0.5000
-174.8427,14.8950,-10.3602,0.0000,-179.3774,0.5000,0.5000
-187.7983,14.9048,-10.3596,0.0000,-192.3435,0.5000,0.5000
-193.4226,14.9086,-10.3589,0.0000,-197.9723,0.5000,0.5000
-196.3168,14.9131,-10.3585,0.0000,-200.8714,0.5000,0.5000
-198.0031,14.9116,-10.3583,0.0000,-202.5564,0.5000,0.5000
-199.0688,14.9122,-10.3582,0.0000,-203.6228,0.5000,0.5000
-199.7867,14.9127,-10.3582,0.0000,-204.3412,0.5000,0.5000
-200.2903,14.9164,-10.3582,0.0000,-204.8486,0.5000,0.5000
-200.6626,14.9159,-10.3582,0.0000,-205.2203,0.5000,0.5000
-200.9431,14.9160,-10.3582,0.0000,-205.5008,0.5000,0.5000
-201.1609,14.9151,-10.3582,0.0000,-205.7178,0.5000,0.5000
-201.3320,14.9151,-10.3582,0.0000,-205.8888,0.5000,0.5000
