total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-82.6185,46.3942,-460.6085,0.0000,331.5957,0.2593,0.2658
76.2031,46.3758,-301.7683,0.0000,331.5957,0.5161,0.5243
203.9933,46.3520,-173.9544,0.0000,331.5957,0.5842,0.5940
275.1506,46.3138,-102.7589,0.0000,331.5957,0.5898,0.5999
302.3796,46.2626,-75.4787,0.0000,331.5957,0.5896,0.5998
307.9685,46.2493,-69.8765,0.0000,331.5957,0.5892,0.5995
308.4897,46.2402,-69.3462,0.0000,331.5957,0.5892,0.5997
308.5205,46.2410,-69.3162,0.0000,331.5957,0.5892,0.5997
308.5245,46.2436,-69.3148,0.0000,331.5957,0.5892,0.5998
308.5237,46.2427,-69.3147,0.0000,331.5957,0.5892,0.5998
308.5238,46.2428,-69.3147,0.0000,331.5957,0.5892,0.5997
308.5243,46.2434,-69.3147,0.0000,331.5957,0.5890,0.5997
308.5269,46.2460,-69.3147,0.0000,331.5957,0.5865,0.5950
308.5227,46.2418,-69.3147,0.0000,331.5957,0.5144,0.5166
308.5248,46.2439,-69.3147,0.0000,331.5957,0.5000,0.5000
-719.4197,22.9679,-923.2878,0.0000,180.9002,0.5000,0.5000
-1078.1743,14.9410,-1036.1633,0.0000,-56.9520,0.5000,0.5000
-1164.2612,14.8934,-1036.1633,0.0000,-142.9913,0.5000,0.5000
-1200.3828,14.8995,-1036.1633,0.0000,-179.1190,0.5000,0.5000
-1213.5209,14.9040,-1036.1633,0.0000,-192.2616,0.5000,0.5000
-1219.2009,14.9069,-1036.1633,0.0000,-197.9445,0.5000,0.5000
-1222.1132,14.9122,-1036.1633,0.0000,-200.8620,0.5000,0.5000
-1223.8070,14.9103,-1036.1633,0.0000,-202.5539,0.5000,0.5000
-1224.8725,14.9139,-1036.1633,0.0000,-203.6232,0.5000,0.5000
-1225.5914,14.9144,-1036.1632,0.0000,-204.3426,0.5000,0.5000
-1226.1014,14.9121,-1036.1632,0.0000,-204.8503,0.5000,0.5000
-1226.4695,14.9158,-1036.1630,0.0000,-205.2222,0.5000,0.5000
-1226.7512,14.9147,-1036.1632,0.0000,-205.5028,0.5000,0.5000
-1226.9663,14.9164,-1036.1631,0.0000,-205.7196,0.5000,0.5000
-1227.1395,14.9139,-1036.1630,0.0000,-205.8905,0.5000,0.5000
