total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
79.3233,46.1645,0.0000,0.0000,33.1588,0.4944,0.4967
79.2847,46.1259,0.0000,0.0000,33.1588,0.4773,0.4776
79.2526,46.0938,0.0000,0.0000,33.1588,0.0007,0.0008
79.2221,46.0632,0.0000,0.0000,33.1588,0.9995,0.9993
79.2135,46.0547,0.0000,0.0000,33.1588,0.0238,0.0209
79.2156,46.0568,0.0000,0.0000,33.1588,0.8942,0.8903
79.2161,46.0573,0.0000,0.0000,33.1588,0.0805,0.0760
79.2161,46.0573,0.0000,0.0000,33.1588,0.9596,0.9594
79.2127,46.0539,0.0000,0.0000,33.1588,0.5000,0.5000
79.2128,46.0539,0.0000,0.0000,33.1588,0.5000,0.5000
79.2111,46.0522,0.0000,0.0000,33.1588,0.5000,0.5000
79.2142,46.0554,0.0000,0.0000,33.1588,0.5000,0.5000
79.2107,46.0518,0.0000,0.0000,33.1588,0.5000,0.5000
79.2147,46.0559,0.0000,0.0000,33.1588,0.5000,0.5000
79.2128,46.0540,0.0000,0.0000,33.1588,0.5000,0.5000
53.8833,23.3878,0.0000,0.0000,30.4954,0.5000,0.5000
32.7037,15.0162,0.0000,0.0000,17.6876,0.5000,0.5000
22.0567,14.8774,0.0000,0.0000,7.1793,0.5000,0.5000
17.8793,14.5408,0.0000,0.0000,3.3385,0.5000,0.5000
16.4268,14.5065,0.0000,0.0000,1.9203,0.5000,0.5000
15.7783,14.4924,0.0000,0.0000,1.2860,0.5000,0.5000
15.4490,14.4854,0.0000,0.0000,0.9635,0.5000,0.5000
15.2679,14.4849,0.0000,0.0000,0.7829,0.5000,0.5000
15.1583,14.4835,0.0000,0.0000,0.6748,0.5000,0.5000
15.0884,14.4820,0.0000,0.0000,0.6064,0.5000,0.5000
15.0444,14.4827,0.0000,0.0000,0.5617,0.5000,0.5000
15.0132,14.4816,0.0000,0.0000,0.5316,0.5000,0.5000
14.9902,14.4796,0.0000,0.0000,0.5107,0.5000,0.5000
14.9783,14.4822,0.0000,0.0000,0.4960,0.5000,0.5000
14.9639,14.4783,0.0000,0.0000,0.4857,0.5000,0.5000
