total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
3362.0254,46.3386,0.0000,0.0000,3315.6868,0.4974,0.4977
3361.9928,46.3060,0.0000,0.0000,3315.6868,0.4962,0.4977
3361.9415,46.2547,0.0000,0.0000,3315.6868,0.4895,0.4914
3361.8895,46.2027,0.0000,0.0000,3315.6868,0.4480,0.4522
3361.8634,46.1766,0.0000,0.0000,3315.6868,0.1157,0.1152
3361.8630,46.1762,0.0000,0.0000,3315.6868,0.0000,0.0001
3361.8650,46.1782,0.0000,0.0000,3315.6867,0.0004,0.0011
3361.8677,46.1809,0.0000,0.0000,3315.6868,0.0364,0.0366
3361.8652,46.1784,0.0000,0.0000,3315.6868,0.9833,0.9827
3361.8644,46.1776,0.0000,0.0000,3315.6868,0.1276,0.1290
3361.8662,46.1794,0.0000,0.0000,3315.6868,0.5004,0.5007
3361.8688,46.1819,0.0000,0.0000,3315.6868,0.5000,0.5000
3361.8663,46.1795,0.0000,0.0000,3315.6868,0.5000,0.5000
3361.8674,46.1806,0.0000,0.0000,3315.6868,0.5000,0.5000
3361.8676,46.1807,0.0000,0.0000,3315.6869,0.5000,0.5000
1805.4194,23.5770,0.0000,0.0000,1781.8424,0.5000,0.5000
-589.9730,14.9333,0.0000,0.0000,-604.9062,0.5000,0.5000
-1444.1566,14.8915,0.0000,0.0000,-1459.0481,0.5000,0.5000
-1790.3102,14.8994,0.0000,0.0000,-1805.2097,0.5000,0.5000
-1915.5340,14.9037,0.0000,0.0000,-1930.4377,0.5000,0.5000
-1969.9317,14.9103,0.0000,0.0000,-1984.8419,0.5000,0.5000
-1997.9946,14.9104,0.0000,0.0000,-2012.9050,0.5000,0.5000
-2014.3264,14.9135,0.0000,0.0000,-2029.2399,0.5000,0.5000
-2024.6765,14.9177,0.0000,0.0000,-2039.5942,0.5000,0.5000
-2031.6640,14.9170,0.0000,0.0000,-2046.5810,0.5000,0.5000
-2036.6097,14.9156,0.0000,0.0000,-2051.5253,0.5000,0.5000
-2040.2393,14.9178,0.0000,0.0000,-2055.1571,0.5000,0.5000
-2042.9887,14.9174,0.0000,0.0000,-2057.9060,0.5000,0.5000
-2045.1196,14.9190,0.0000,0.0000,-2060.0386,0.5000,0.5000
-2046.8078,14.9196,0.0000,0.0000,-2061.7274,0.5000,0.5000
