total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
33204.7901,46.1258,0.0000,0.0000,33158.6643,0.4559,0.4482
33204.7638,46.0996,0.0000,0.0000,33158.6642,0.3898,0.3896
33204.7143,46.0501,0.0000,0.0000,33158.6643,0.5159,0.5205
33204.6455,45.9813,0.0000,0.0000,33158.6641,0.5038,0.5060
33204.6055,45.9413,0.0000,0.0000,33158.6642,0.5076,0.5104
33204.6021,45.9379,0.0000,0.0000,33158.6643,0.5066,0.5093
33204.6061,45.9417,0.0000,0.0000,33158.6645,0.5065,0.5089
33204.6065,45.9423,0.0000,0.0000,33158.6643,0.5027,0.5026
33204.6104,45.9461,0.0000,0.0000,33158.6643,0.5027,0.5026
33204.6065,45.9423,0.0000,0.0000,33158.6642,0.5027,0.5026
33204.6009,45.9367,0.0000,0.0000,33158.6642,0.5027,0.5026
33204.6085,45.9442,0.0000,0.0000,33158.6643,0.5027,0.5026
33204.6069,45.9426,0.0000,0.0000,33158.6643,0.5027,0.5026
33204.6095,45.9452,0.0000,0.0000,33158.6644,0.5039,0.4995
33204.6071,45.9423,0.0000,0.0000,33158.6648,0.5014,0.5035
18301.0215,24.5895,0.0000,0.0000,18276.4320,0.5000,0.5000
-6019.2194,14.9396,0.0000,0.0000,-6034.1590,0.5000,0.5000
-14629.4977,14.8903,0.0000,0.0000,-14644.3880,0.5000,0.5000
-18064.3091,14.8961,0.0000,0.0000,-18079.2053,0.5000,0.5000
-19305.2343,14.9054,0.0000,0.0000,-19320.1397,0.5000,0.5000
-19844.2518,14.9090,0.0000,0.0000,-19859.1608,0.5000,0.5000
-20122.2279,14.9137,0.0000,0.0000,-20137.1416,0.5000,0.5000
-20284.0125,14.9131,0.0000,0.0000,-20298.9256,0.5000,0.5000
-20386.5575,14.9135,0.0000,0.0000,-20401.4710,0.5000,0.5000
-20455.7505,14.9142,0.0000,0.0000,-20470.6648,0.5000,0.5000
-20504.7116,14.9180,0.0000,0.0000,-20519.6296,0.5000,0.5000
-20540.6792,14.9176,0.0000,0.0000,-20555.5968,0.5000,0.5000
-20567.9034,14.9182,0.0000,0.0000,-20582.8216,0.5000,0.5000
-20589.0256,14.9175,0.0000,0.0000,-20603.9431,0.5000,0.5000
-20605.7521,14.9179,0.0000,0.0000,-20620.6699,0.5000,0.5000
