total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
377.7216,46.1428,0.0000,0.0000,331.5787,0.5016,0.5008
377.7028,46.1241,0.0000,0.0000,331.5787,0.5028,0.5023
377.6557,46.0769,0.0000,0.0000,331.5787,0.5045,0.5025
377.5973,46.0186,0.0000,0.0000,331.5787,0.5073,0.5046
377.5445,45.9658,0.0000,0.0000,331.5787,0.5123,0.5112
377.5280,45.9493,0.0000,0.0000,331.5787,0.5230,0.5229
377.5231,45.9443,0.0000,0.0000,331.5787,0.5473,0.5450
377.5255,45.9468,0.0000,0.0000,331.5787,0.6038,0.5992
377.5250,45.9463,0.0000,0.0000,331.5787,0.7442,0.7426
377.5271,45.9484,0.0000,0.0000,331.5787,1.0000,1.0000
377.5228,45.9441,0.0000,0.0000,331.5787,1.0000,1.0000
377.5236,45.9448,0.0000,0.0000,331.5787,1.0000,1.0000
377.5290,45.9503,0.0000,0.0000,331.5787,1.0000,1.0000
377.5237,45.9450,0.0000,0.0000,331.5787,1.0000,1.0000
377.5245,45.9457,0.0000,0.0000,331.5787,1.0000,1.0000
202.5723,23.8597,0.0000,0.0000,178.7126,1.0000,1.0000
-43.5736,14.9414,0.0000,0.0000,-58.5149,1.0000,1.0000
-128.9631,14.8902,0.0000,0.0000,-143.8533,1.0000,1.0000
-164.5074,14.8963,0.0000,0.0000,-179.4037,1.0000,1.0000
-177.4680,14.9056,0.0000,0.0000,-192.3735,1.0000,1.0000
-183.0885,14.9102,0.0000,0.0000,-197.9987,0.9998,0.9997
-185.9830,14.9098,0.0000,0.0000,-200.8928,0.8516,0.8484
-187.6610,14.9124,0.0000,0.0000,-202.5734,0.5000,0.5000
-188.7238,14.9127,0.0000,0.0000,-203.6364,0.5000,0.5000
-189.4348,14.9174,0.0000,0.0000,-204.3522,0.5000,0.5000
-189.9440,14.9135,0.0000,0.0000,-204.8575,0.5000,0.5000
-190.3104,14.9175,0.0000,0.0000,-205.2278,0.5000,0.5000
-190.5908,14.9164,0.0000,0.0000,-205.5072,0.5000,0.5000
-190.8055,14.9177,0.0000,0.0000,-205.7232,0.5000,0.5000
-190.9776,14.9159,0.0000,0.0000,-205.8935,0.5000,0.5000
