total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
46.3386,46.3386,0.0000,0.0000,0.0000,0.4974,0.4977
46.3060,46.3060,0.0000,0.0000,0.0000,0.4962,0.4977
46.2547,46.2547,0.0000,0.0000,0.0000,0.4895,0.4914
46.2027,46.2027,0.0000,0.0000,0.0000,0.4480,0.4522
46.1766,46.1766,0.0000,0.0000,0.0000,0.1157,0.1152
46.1762,46.1762,0.0000,0.0000,0.0000,0.0000,0.0001
46.1782,46.1782,0.0000,0.0000,0.0000,0.0004,0.0011
46.1809,46.1809,0.0000,0.0000,0.0000,0.0364,0.0366
46.1784,46.1784,0.0000,0.0000,0.0000,0.9833,0.9827
46.1776,46.1776,0.0000,0.0000,0.0000,0.1276,0.1290
46.1794,46.1794,0.0000,0.0000,0.0000,0.5004,0.5007
46.1819,46.1819,0.0000,0.0000,0.0000,0.5000,0.5000
46.1795,46.1795,0.0000,0.0000,0.0000,0.5000,0.5000
46.1806,46.1806,0.0000,0.0000,0.0000,0.5000,0.5000
46.1807,46.1807,0.0000,0.0000,0.0000,0.5000,0.5000
23.8092,23.8092,0.0000,0.0000,0.0000,0.5000,0.5000
15.1622,15.1622,0.0000,0.0000,0.0000,0.5000,0.5000
15.0188,15.0188,0.0000,0.0000,0.0000,0.5000,0.5000
14.9715,14.9715,0.0000,0.0000,0.0000,0.5000,0.5000
14.9499,14.9499,0.0000,0.0000,0.0000,0.5000,0.5000
14.9378,14.9378,0.0000,0.0000,0.0000,0.5000,0.5000
14.9297,14.9297,0.0000,0.0000,0.0000,0.5000,0.5000
14.9248,14.9248,0.0000,0.0000,0.0000,0.5000,0.5000
14.9215,14.9215,0.0000,0.0000,0.0000,0.5000,0.5000
14.9196,14.9196,0.0000,0.0000,0.0000,0.5000,0.5000
14.9154,14.9154,0.0000,0.0000,0.0000,0.5000,0.5000
14.9142,14.9142,0.0000,0.0000,0.0000,0.5000,0.5000
14.9136,14.9136,0.0000,0.0000,0.0000,0.5000,0.5000
14.9109,14.9109,0.0000,0.0000,0.0000,0.5000,0.5000
14.9097,14.9097,0.0000,0.0000,0.0000,0.5000,0.5000
